Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0861,0.00,48.65,mid starboard,0.220,48.65,1.0000,1.0000,0.0861
1.2,3.000,0.000,0.2338,0.00,19.64,aft starboard,0.039,19.64,0.7572,0.7572,0.1770
1.3,3.000,0.000,0.3493,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,0.3493
1.4,3.000,0.000,0.1345,0.00,51.62,mid starboard,0.287,51.62,1.0000,1.0000,0.1345
2.1,3.000,0.000,0.0631,,,,,,,0.0000,0.0000
2.2,3.000,0.000,0.0673,,,,,,,0.0000,0.0000
2.3,3.000,0.000,0.0658,,,,,,,0.0000,0.0000
3.1,3.000,0.000,0.0000,,,,,,,0.0000,0.0000
1.1,3.600,0.000,0.0861,0.00,31.70,aft starboard,0.298,31.70,1.0000,1.0000,0.0861
1.2,3.600,0.000,0.2338,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
1.3,3.600,0.000,0.3493,0.00,4.42,mid starboard,0.085,4.42,0.6644,0.6644,0.2321
1.4,3.600,0.000,0.1345,0.00,39.26,mid starboard,0.469,39.26,1.0000,1.0000,0.1345
2.1,3.600,0.000,0.0631,,,,,,,0.0000,0.0000
2.2,3.600,0.000,0.0673,,,,,,,0.0000,0.0000
2.3,3.600,0.000,0.0658,,,,,,,0.0000,0.0000
3.1,3.600,0.000,0.0000,,,,,,,0.0000,0.0000
1.1,4.000,0.000,0.0861,0.00,22.85,aft starboard,0.263,22.85,1.0000,1.0000,0.0861
1.2,4.000,0.000,0.2338,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
1.3,4.000,0.000,0.3493,,,,,,,0.0000,0.0000
1.4,4.000,0.000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1345
2.1,4.000,0.000,0.0631,,,,,,,0.0000,0.0000
2.2,4.000,0.000,0.0673,,,,,,,0.0000,0.0000
2.3,4.000,0.000,0.0658,,,,,,,0.0000,0.0000
3.1,4.000,0.000,0.0000,,,,,,,0.0000,0.0000
