Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.2465,60.00,36.97,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.1,3.000,0.000,0.1404,60.00,44.83,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.000,0.000,0.0219,1.09,51.29,mid starboard,0.214,50.20,1.0000,1.0000,0.0219
4.1,3.000,0.000,0.1494,60.00,5.30,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.1,3.000,0.000,0.0452,60.00,33.77,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.000,0.000,-0.0156,,,,,,,0.0000,0.0000
6.2,3.000,0.000,0.0706,25.14,35.11,mid starboard,0.091,9.97,0.8176,0.8176,0.0577
6.3,3.000,0.000,0.0264,60.00,43.75,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.000,0.000,0.0609,2.06,48.08,mid starboard,0.283,46.02,1.0000,1.0000,0.0609
6.5,3.000,0.000,0.0013,1.09,51.27,mid starboard,0.214,50.18,1.0000,1.0000,0.0013
6.6,3.000,0.000,0.1148,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1148
2.1,3.600,0.000,0.2465,60.00,26.92,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.1,3.600,0.000,0.1404,60.00,34.57,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.600,0.000,0.0219,1.35,39.60,mid starboard,0.349,38.25,1.0000,1.0000,0.0219
4.1,3.600,0.000,0.1494,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
5.1,3.600,0.000,0.0452,60.00,24.71,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.600,0.000,-0.0156,,,,,,,0.0000,0.0000
6.2,3.600,0.000,0.0706,21.18,24.50,mid starboard,0.050,3.32,0.5430,0.5430,0.0383
6.3,3.600,0.000,0.0264,60.00,33.75,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.600,0.000,0.0609,2.15,35.77,mid starboard,0.456,33.61,1.0000,1.0000,0.0609
6.5,3.600,0.000,0.0013,1.35,39.60,mid starboard,0.349,38.25,1.0000,1.0000,0.0013
6.6,3.600,0.000,0.1148,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1148
2.1,4.000,0.000,0.2465,60.00,21.33,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.1,4.000,0.000,0.1404,60.00,28.68,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,4.000,0.000,0.0219,1.52,33.07,mid starboard,0.380,31.55,1.0000,1.0000,0.0219
4.1,4.000,0.000,0.1494,,,,,,,0.0000,0.0000
5.1,4.000,0.000,0.0452,60.00,19.28,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,4.000,0.000,-0.0156,,,,,,,0.0000,0.0000
6.2,4.000,0.000,0.0706,21.72,18.23,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,4.000,0.000,0.0264,60.00,27.93,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,4.000,0.000,0.0609,2.22,28.93,mid starboard,0.463,26.72,1.0000,1.0000,0.0609
6.5,4.000,0.000,0.0013,1.52,33.06,mid starboard,0.380,31.55,1.0000,1.0000,0.0013
6.6,4.000,0.000,0.1148,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1148
