Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.0615,2.01,50.05,mid starboard,0.133,48.04,1.0000,1.0000,0.0615
2.2,3.000,0.000,0.0210,1.96,51.07,mid starboard,0.171,49.11,1.0000,1.0000,0.0210
2.3,3.000,0.000,0.0102,0.35,51.49,mid starboard,0.223,51.14,1.0000,1.0000,0.0102
4.1,3.000,0.000,0.1071,60.00,45.11,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.000,0.000,0.0154,5.84,48.85,mid starboard,0.050,25.43,0.8032,0.8032,0.0124
4.3,3.000,0.000,0.0168,7.82,49.55,mid starboard,0.083,34.28,0.9108,0.9108,0.0153
4.4,3.000,0.000,0.0116,2.56,50.24,mid starboard,0.137,40.05,1.0000,1.0000,0.0116
4.5,3.000,0.000,0.0407,4.11,49.61,mid starboard,0.118,35.19,0.9966,0.9966,0.0406
5.1,3.000,0.000,0.0092,0.23,52.20,mid starboard,0.252,51.97,1.0000,1.0000,0.0092
6.1,3.000,0.000,0.1623,60.00,27.92,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.0018,7.80,48.10,mid starboard,0.023,16.05,0.6605,0.6605,0.0012
6.3,3.000,0.000,0.0214,25.18,46.57,mid starboard,0.013,11.94,0.5245,0.5245,0.0112
6.4,3.000,0.000,0.1183,60.00,44.10,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.5,3.000,0.000,0.0001,4.11,49.61,mid starboard,0.118,35.19,0.9966,0.9966,0.0001
2.1,3.600,0.000,0.0615,3.45,38.64,mid starboard,0.260,35.19,1.0000,1.0000,0.0615
2.2,3.600,0.000,0.0210,2.49,39.42,mid starboard,0.316,36.93,1.0000,1.0000,0.0210
2.3,3.600,0.000,0.0102,0.60,39.82,mid starboard,0.358,39.22,1.0000,1.0000,0.0102
4.1,3.600,0.000,0.1071,30.45,32.58,aft starboard,0.005,2.14,0.0000,0.0000,0.0000
4.2,3.600,0.000,0.0154,8.28,37.75,mid starboard,0.166,29.47,1.0000,1.0000,0.0154
4.3,3.600,0.000,0.0168,7.56,38.26,mid starboard,0.229,30.70,1.0000,1.0000,0.0168
4.4,3.600,0.000,0.0116,3.42,38.89,mid starboard,0.267,35.47,1.0000,1.0000,0.0116
4.5,3.600,0.000,0.0407,4.72,38.43,mid starboard,0.240,33.72,1.0000,1.0000,0.0407
5.1,3.600,0.000,0.0092,0.30,40.21,mid starboard,0.400,39.91,1.0000,1.0000,0.0092
6.1,3.600,0.000,0.1623,60.00,19.28,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.600,0.000,0.0018,10.68,37.26,mid starboard,0.114,26.59,0.9870,0.9870,0.0018
6.3,3.600,0.000,0.0214,16.06,35.71,mid starboard,0.149,19.66,1.0000,1.0000,0.0214
6.4,3.600,0.000,0.1183,60.00,33.63,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.5,3.600,0.000,0.0001,4.72,38.43,mid starboard,0.240,33.72,1.0000,1.0000,0.0001
2.1,4.000,0.000,0.0615,4.27,31.51,aft starboard,0.297,27.25,1.0000,1.0000,0.0615
2.2,4.000,0.000,0.0210,2.71,32.95,mid starboard,0.352,30.24,1.0000,1.0000,0.0210
2.3,4.000,0.000,0.0102,0.75,33.31,mid starboard,0.387,32.55,1.0000,1.0000,0.0102
4.1,4.000,0.000,0.1071,24.12,26.27,aft starboard,0.015,2.14,0.3592,0.3592,0.0385
4.2,4.000,0.000,0.0154,8.99,30.86,aft starboard,0.206,21.87,1.0000,1.0000,0.0154
4.3,4.000,0.000,0.0168,7.32,31.95,mid starboard,0.266,24.63,1.0000,1.0000,0.0168
4.4,4.000,0.000,0.0116,3.78,32.53,mid starboard,0.299,28.75,1.0000,1.0000,0.0116
4.5,4.000,0.000,0.0407,4.95,32.12,mid starboard,0.268,27.17,1.0000,1.0000,0.0407
5.1,4.000,0.000,0.0092,0.34,33.56,mid starboard,0.436,33.22,1.0000,1.0000,0.0092
6.1,4.000,0.000,0.1623,60.00,13.62,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,4.000,0.000,0.0018,11.19,30.75,aft starboard,0.151,19.56,1.0000,1.0000,0.0018
6.3,4.000,0.000,0.0214,14.51,29.63,mid starboard,0.162,15.12,0.9859,0.9859,0.0211
6.4,4.000,0.000,0.1183,28.98,27.57,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.5,4.000,0.000,0.0001,4.95,32.12,mid starboard,0.268,27.17,1.0000,1.0000,0.0001
