Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.2339,60.00,38.27,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
1.2,3.000,0.000,0.0466,13.87,48.49,mid starboard,0.037,23.64,0.7449,0.7449,0.0347
1.3,3.000,0.000,0.0891,13.33,48.00,mid starboard,0.018,14.76,0.6103,0.6103,0.0544
2.1,3.000,0.000,0.0386,60.00,35.61,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.000,0.000,0.0358,60.00,44.42,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.000,0.000,0.0001,0.00,52.30,mid starboard,0.258,52.30,1.0000,1.0000,0.0001
3.1,3.000,0.000,0.1614,60.00,3.27,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.000,0.000,0.0046,60.00,35.43,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.000,0.000,0.0169,10.11,44.79,mid starboard,0.188,34.68,1.0000,1.0000,0.0169
3.4,3.000,0.000,0.1048,15.26,38.43,mid starboard,0.241,23.17,1.0000,1.0000,0.1048
3.5,3.000,0.000,0.0045,13.35,47.91,mid starboard,0.018,14.50,0.6047,0.6047,0.0027
4.1,3.000,0.000,-0.0150,,,,,,,0.0000,0.0000
4.2,3.000,0.000,-0.0014,0.00,44.79,mid starboard,0.202,44.79,1.0000,1.0000,-0.0014
4.3,3.000,0.000,0.0001,60.00,44.34,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.4,3.000,0.000,-0.0068,0.00,38.19,mid starboard,0.290,38.19,1.0000,1.0000,-0.0068
5.1,3.000,0.000,0.0016,13.35,47.89,mid starboard,0.018,14.50,0.6047,0.6047,0.0009
5.2,3.000,0.000,0.0074,0.00,51.84,mid starboard,0.267,51.84,1.0000,1.0000,0.0074
5.3,3.000,0.000,0.1173,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1173
6.1,3.000,0.000,0.0238,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.0269,26.99,27.86,mid starboard,0.017,0.87,0.2299,0.2299,0.0062
6.3,3.000,0.000,0.0000,60.00,44.32,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.1,3.000,0.000,0.0000,0.00,51.84,mid starboard,0.267,51.84,1.0000,1.0000,0.0000
7.2,3.000,0.000,0.0172,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0172
1.1,3.600,0.000,0.2339,60.00,27.87,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
1.2,3.600,0.000,0.0466,11.29,37.39,mid starboard,0.185,26.10,1.0000,1.0000,0.0466
1.3,3.600,0.000,0.0891,11.13,37.10,mid starboard,0.139,25.97,1.0000,1.0000,0.0891
2.1,3.600,0.000,0.0386,60.00,26.06,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.600,0.000,0.0358,60.00,34.30,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.600,0.000,0.0001,0.00,40.34,mid starboard,0.405,40.34,1.0000,1.0000,0.0001
3.1,3.600,0.000,0.1614,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.600,0.000,0.0046,60.00,26.00,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.600,0.000,0.0169,9.77,33.09,mid starboard,0.293,23.32,1.0000,1.0000,0.0169
3.4,3.600,0.000,0.1048,12.19,26.89,mid starboard,0.271,14.70,0.9791,0.9791,0.1026
3.5,3.600,0.000,0.0045,11.16,37.06,mid starboard,0.137,25.90,1.0000,1.0000,0.0045
4.1,3.600,0.000,-0.0150,,,,,,,0.0000,0.0000
4.2,3.600,0.000,-0.0014,0.00,32.88,mid starboard,0.323,32.88,1.0000,1.0000,-0.0014
4.3,3.600,0.000,0.0001,60.00,34.26,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.4,3.600,0.000,-0.0068,0.00,25.52,mid starboard,0.409,25.52,1.0000,1.0000,-0.0068
5.1,3.600,0.000,0.0016,11.16,37.06,mid starboard,0.137,25.90,1.0000,1.0000,0.0016
5.2,3.600,0.000,0.0074,0.00,39.74,mid starboard,0.422,39.73,1.0000,1.0000,0.0074
5.3,3.600,0.000,0.1173,0.00,39.26,mid starboard,0.469,39.26,1.0000,1.0000,0.1173
6.1,3.600,0.000,0.0238,,,,,,,0.0000,0.0000
6.2,3.600,0.000,0.0269,24.78,17.16,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.600,0.000,0.0000,60.00,34.26,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.1,3.600,0.000,0.0000,0.00,39.74,mid starboard,0.422,39.74,1.0000,1.0000,0.0000
7.2,3.600,0.000,0.0172,0.00,39.26,mid starboard,0.469,39.26,1.0000,1.0000,0.0172
1.1,4.000,0.000,0.2339,60.00,22.21,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
1.2,4.000,0.000,0.0466,10.50,31.19,mid starboard,0.217,20.70,1.0000,1.0000,0.0466
1.3,4.000,0.000,0.0891,10.64,30.91,mid starboard,0.168,20.27,1.0000,1.0000,0.0891
2.1,4.000,0.000,0.0386,60.00,20.56,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,4.000,0.000,0.0358,60.00,28.44,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,4.000,0.000,0.0001,0.00,33.71,mid starboard,0.439,33.70,1.0000,1.0000,0.0001
3.1,4.000,0.000,0.1614,,,,,,,0.0000,0.0000
3.2,4.000,0.000,0.0046,60.00,20.51,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,4.000,0.000,0.0169,9.35,26.79,mid starboard,0.262,17.44,1.0000,1.0000,0.0169
