Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
2.1,3.000,0.000,0.3830,0.0000,0.0000
2.2,3.000,0.000,0.2445,1.0000,0.2445,0.00,31.27,mid starboard,0.243,31.27,1.0000
3.1,3.000,0.000,0.0241,1.0000,0.0241,0.00,50.67,mid starboard,0.271,50.67,1.0000
3.2,3.000,0.000,0.0057,1.0000,0.0057,0.00,51.92,mid starboard,0.266,51.92,1.0000
4.1,3.000,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
5.1,3.000,0.000,0.0473,1.0000,0.0473,0.00,24.43,mid starboard,0.351,24.43,1.0000
6.1,3.000,0.000,0.0181,1.0000,0.0181,0.00,49.95,mid starboard,0.282,49.95,1.0000
7.1,3.000,0.000,0.0268,1.0000,0.0268,0.00,50.89,mid starboard,0.301,50.89,1.0000
2.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.2445,1.0000,0.2445,0.00,18.53,mid starboard,0.302,18.53,1.0000
3.1,3.600,0.000,0.0241,1.0000,0.0241,0.00,38.51,mid starboard,0.429,38.51,1.0000
3.2,3.600,0.000,0.0057,1.0000,0.0057,0.00,39.84,mid starboard,0.420,39.84,1.0000
4.1,3.600,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
5.1,3.600,0.000,0.0473,0.9120,0.0432,0.00,11.07,mid starboard,0.251,11.07,0.9120
6.1,3.600,0.000,0.0181,1.0000,0.0181,0.00,37.70,mid starboard,0.453,37.70,1.0000
7.1,3.600,0.000,0.0268,1.0000,0.0268,0.00,38.41,mid starboard,0.499,38.41,1.0000
2.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.2445,0.9043,0.2211,0.00,10.70,mid starboard,0.214,10.70,0.9043
3.1,4.000,0.000,0.0241,1.0000,0.0241,0.00,31.74,mid starboard,0.469,31.74,1.0000
3.2,4.000,0.000,0.0057,1.0000,0.0057,0.00,33.15,mid starboard,0.460,33.15,1.0000
4.1,4.000,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
5.1,4.000,0.000,0.0473,0.5368,0.0254,0.00,2.64,mid starboard,0.060,2.64,0.5368
6.1,4.000,0.000,0.0181,1.0000,0.0181,0.00,30.84,mid starboard,0.485,30.84,1.0000
7.1,4.000,0.000,0.0268,1.0000,0.0268,0.00,31.42,mid starboard,0.523,31.42,1.0000
