Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.0801,3.27,49.36,mid starboard,0.101,39.36,0.9583,0.9583,0.0767
2.2,3.000,0.000,0.0005,0.20,52.23,mid starboard,0.250,52.03,1.0000,1.0000,0.0005
2.3,3.000,0.000,0.0498,3.49,49.87,mid starboard,0.117,36.61,0.9933,0.9933,0.0495
2.4,3.000,0.000,0.0144,0.36,52.15,mid starboard,0.251,51.79,1.0000,1.0000,0.0144
3.1,3.000,0.000,0.0000,3.49,49.86,mid starboard,0.117,36.61,0.9933,0.9933,0.0000
3.2,3.000,0.000,0.0113,1.04,51.79,mid starboard,0.237,50.75,1.0000,1.0000,0.0113
3.3,3.000,0.000,0.0008,0.36,52.15,mid starboard,0.251,51.79,1.0000,1.0000,0.0008
3.4,3.000,0.000,0.0111,0.00,52.33,mid starboard,0.259,52.33,1.0000,1.0000,0.0111
4.1,3.000,0.000,0.2606,60.00,26.71,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.000,0.000,0.0030,3.68,49.25,mid starboard,0.092,37.13,0.9367,0.9367,0.0028
4.3,3.000,0.000,0.0001,1.09,51.83,mid starboard,0.241,50.75,1.0000,1.0000,0.0001
4.4,3.000,0.000,0.0030,3.87,49.76,mid starboard,0.108,35.48,0.9742,0.9742,0.0029
4.5,3.000,0.000,0.1944,60.00,39.23,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.6,3.000,0.000,0.0321,0.47,51.65,mid starboard,0.279,51.17,1.0000,1.0000,0.0321
4.7,3.000,0.000,0.0138,0.00,52.33,mid starboard,0.259,52.33,1.0000,1.0000,0.0138
5.1,3.000,0.000,0.0043,1.11,51.44,mid starboard,0.258,50.32,1.0000,1.0000,0.0043
5.2,3.000,0.000,0.0130,1.48,51.53,mid starboard,0.227,50.06,1.0000,1.0000,0.0130
6.1,3.000,0.000,0.0487,60.00,16.79,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.0000,1.08,51.76,mid starboard,0.248,50.68,1.0000,1.0000,0.0000
6.3,3.000,0.000,0.0169,60.00,47.00,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.000,0.000,0.0385,60.00,34.10,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
