Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.1340,10.75,45.64,aft starboard,0.032,22.35,0.7190,0.7190,0.0963
2.2,3.000,0.000,0.0002,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0002
2.3,3.000,0.000,0.0005,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0005
2.4,3.000,0.000,0.0092,1.64,51.35,mid starboard,0.203,49.71,1.0000,1.0000,0.0092
2.5,3.000,0.000,0.0185,0.89,51.25,mid starboard,0.214,49.38,1.0000,1.0000,0.0185
3.1,3.000,0.000,0.0002,0.89,51.24,mid starboard,0.214,49.34,1.0000,1.0000,0.0002
3.2,3.000,0.000,0.0367,0.81,51.95,mid starboard,0.251,51.14,1.0000,1.0000,0.0367
4.1,3.000,0.000,0.1163,60.00,29.82,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.000,0.000,0.0390,8.17,49.21,mid starboard,0.093,41.04,0.9379,0.9379,0.0365
4.3,3.000,0.000,0.0006,0.00,52.32,mid starboard,0.256,52.32,1.0000,1.0000,0.0006
4.4,3.000,0.000,0.0764,60.00,47.56,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.5,3.000,0.000,0.0053,4.83,50.18,mid starboard,0.181,45.35,1.0000,1.0000,0.0053
4.6,3.000,0.000,0.0125,2.80,50.23,mid starboard,0.156,40.54,1.0000,1.0000,0.0125
4.7,3.000,0.000,0.0728,10.87,47.92,mid starboard,0.103,37.05,0.9628,0.9628,0.0701
5.1,3.000,0.000,0.0002,2.80,50.22,mid starboard,0.156,40.55,1.0000,1.0000,0.0002
5.2,3.000,0.000,0.0018,0.83,51.93,mid starboard,0.251,51.10,1.0000,1.0000,0.0018
6.1,3.000,0.000,0.0011,60.00,29.61,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.0319,60.00,41.29,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.000,0.000,0.0177,15.86,45.97,mid starboard,0.099,30.11,0.9531,0.9531,0.0169
6.4,3.000,0.000,0.0412,60.00,42.82,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.5,3.000,0.000,0.0187,60.00,46.64,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.6,3.000,0.000,0.0000,4.83,50.16,mid starboard,0.182,45.33,1.0000,1.0000,0.0000
6.7,3.000,0.000,0.0007,10.95,47.86,mid starboard,0.104,36.91,0.9658,0.9658,0.0007
7.1,3.000,0.000,0.0341,15.45,46.69,mid starboard,0.058,29.30,0.8341,0.8341,0.0284
7.2,3.000,0.000,0.0165,0.89,51.75,mid starboard,0.262,50.87,1.0000,1.0000,0.0165
2.1,3.600,0.000,0.1340,14.02,32.83,aft starboard,0.103,18.81,0.9625,0.9625,0.1290
2.2,3.600,0.000,0.0002,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0002
2.3,3.600,0.000,0.0005,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0005
2.4,3.600,0.000,0.0092,1.82,39.63,mid starboard,0.346,37.81,1.0000,1.0000,0.0092
2.5,3.600,0.000,0.0185,1.16,39.62,mid starboard,0.347,38.45,1.0000,1.0000,0.0185
3.1,3.600,0.000,0.0002,1.16,39.62,mid starboard,0.347,38.45,1.0000,1.0000,0.0002
3.2,3.600,0.000,0.0367,0.87,39.87,mid starboard,0.406,39.00,1.0000,1.0000,0.0367
4.1,3.600,0.000,0.1163,60.00,20.28,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.600,0.000,0.0390,8.09,37.95,mid starboard,0.236,29.86,1.0000,1.0000,0.0390
4.3,3.600,0.000,0.0006,0.00,40.35,mid starboard,0.404,40.35,1.0000,1.0000,0.0006
4.4,3.600,0.000,0.0764,15.90,36.73,mid starboard,0.104,20.84,0.9651,0.9651,0.0738
4.5,3.600,0.000,0.0053,4.66,38.51,mid starboard,0.329,33.85,1.0000,1.0000,0.0053
4.6,3.600,0.000,0.0125,3.27,38.86,mid starboard,0.283,35.59,1.0000,1.0000,0.0125
4.7,3.600,0.000,0.0728,9.37,36.52,mid starboard,0.260,27.14,1.0000,1.0000,0.0728
5.1,3.600,0.000,0.0002,3.27,38.86,mid starboard,0.283,35.59,1.0000,1.0000,0.0002
5.2,3.600,0.000,0.0018,0.90,39.85,mid starboard,0.408,38.95,1.0000,1.0000,0.0018
6.1,3.600,0.000,0.0011,60.00,20.08,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.600,0.000,0.0319,60.00,30.00,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.600,0.000,0.0177,14.13,34.23,aft starboard,0.199,20.10,1.0000,1.0000,0.0177
6.4,3.600,0.000,0.0412,27.49,32.50,mid starboard,0.018,5.01,0.3277,0.3277,0.0135
6.5,3.600,0.000,0.0187,21.59,36.04,mid starboard,0.034,14.45,0.7130,0.7130,0.0134
6.6,3.600,0.000,0.0000,4.66,38.49,mid starboard,0.330,33.83,1.0000,1.0000,0.0000
6.7,3.600,0.000,0.0007,9.41,36.46,mid starboard,0.263,27.04,1.0000,1.0000,0.0007
7.1,3.600,0.000,0.0341,11.84,35.39,mid starboard,0.218,23.54,1.0000,1.0000,0.0341
7.2,3.600,0.000,0.0165,0.96,39.59,mid starboard,0.429,38.63,1.0000,1.0000,0.0165
2.1,4.000,0.000,0.1340,14.37,26.45,aft starboard,0.108,12.07,0.9070,0.9070,0.1215
2.2,4.000,0.000,0.0002,0.00,33.72,mid starboard,0.440,33.72,1.0000,1.0000,0.0002
2.3,4.000,0.000,0.0005,0.01,33.72,mid starboard,0.440,33.71,1.0000,1.0000,0.0005
2.4,4.000,0.000,0.0092,1.91,33.10,mid starboard,0.378,31.20,1.0000,1.0000,0.0092
2.5,4.000,0.000,0.0185,1.33,33.10,mid starboard,0.376,31.77,1.0000,1.0000,0.0185
3.1,4.000,0.000,0.0002,1.33,33.10,mid starboard,0.376,31.77,1.0000,1.0000,0.0002
3.2,4.000,0.000,0.0367,0.92,33.18,mid starboard,0.448,32.26,1.0000,1.0000,0.0367
4.1,4.000,0.000,0.1163,60.00,14.31,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,4.000,0.000,0.0390,7.91,31.06,aft starboard,0.269,23.15,1.0000,1.0000,0.0390
4.3,4.000,0.000,0.0006,0.01,33.71,mid starboard,0.439,33.70,1.0000,1.0000,0.0006
4.4,4.000,0.000,0.0764,14.15,30.63,mid starboard,0.137,16.48,1.0000,1.0000,0.0764
4.5,4.000,0.000,0.0053,4.53,32.05,mid starboard,0.360,27.52,1.0000,1.0000,0.0053
4.6,4.000,0.000,0.0125,3.51,32.46,mid starboard,0.311,28.95,1.0000,1.0000,0.0125
4.7,4.000,0.000,0.0728,8.89,30.08,mid starboard,0.288,21.19,1.0000,1.0000,0.0728
5.1,4.000,0.000,0.0002,3.51,32.46,mid starboard,0.311,28.95,1.0000,1.0000,0.0002
5.2,4.000,0.000,0.0018,0.94,33.15,mid starboard,0.449,32.21,1.0000,1.0000,0.0018
6.1,4.000,0.000,0.0011,60.00,14.09,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,4.000,0.000,0.0319,60.00,24.09,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,4.000,0.000,0.0177,13.33,27.40,aft starboard,0.176,14.07,0.9684,0.9684,0.0172
6.4,4.000,0.000,0.0412,26.23,26.62,mid starboard,0.002,0.39,0.1212,0.1212,0.0050
6.5,4.000,0.000,0.0187,17.86,30.02,mid starboard,0.068,12.16,0.8096,0.8096,0.0152
6.6,4.000,0.000,0.0000,4.53,32.03,mid starboard,0.361,27.50,1.0000,1.0000,0.0000
6.7,4.000,0.000,0.0007,8.93,30.02,mid starboard,0.289,21.09,1.0000,1.0000,0.0007
7.1,4.000,0.000,0.0341,11.03,28.91,mid starboard,0.241,17.87,1.0000,1.0000,0.0341
7.2,4.000,0.000,0.0165,0.99,32.86,mid starboard,0.469,31.86,1.0000,1.0000,0.0165
