Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0146,12.96,49.95,mid starboard,0.141,36.99,1.0000,1.0000,0.0146
1.2,3.000,0.000,0.0000,0.26,52.27,mid starboard,0.254,52.02,1.0000,1.0000,0.0000
1.3,3.000,0.000,0.0099,13.07,50.74,mid starboard,0.124,37.66,1.0000,1.0000,0.0099
1.4,3.000,0.000,0.0000,0.26,52.25,mid starboard,0.252,51.99,1.0000,1.0000,0.0000
2.1,3.000,0.000,0.0128,60.00,46.53,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.000,0.000,0.0003,13.47,49.88,mid starboard,0.137,36.41,1.0000,1.0000,0.0003
2.3,3.000,0.000,0.0000,0.26,52.22,mid starboard,0.251,51.96,1.0000,1.0000,0.0000
2.4,3.000,0.000,0.0003,13.63,50.67,mid starboard,0.120,37.04,0.9999,0.9999,0.0003
2.5,3.000,0.000,0.0087,60.00,48.70,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.6,3.000,0.000,0.0000,0.26,52.21,mid starboard,0.252,51.95,1.0000,1.0000,0.0000
2.7,3.000,0.000,0.0010,0.26,52.25,mid starboard,0.252,51.99,1.0000,1.0000,0.0010
3.1,3.000,0.000,0.1150,60.00,39.73,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.000,0.000,0.0130,26.02,39.97,aft starboard,0.077,13.95,0.7727,0.7727,0.0101
3.3,3.000,0.000,0.0000,0.68,52.12,mid starboard,0.251,51.45,1.0000,1.0000,0.0000
3.4,3.000,0.000,0.0002,0.26,52.17,mid starboard,0.250,51.91,1.0000,1.0000,0.0002
3.5,3.000,0.000,0.0027,30.23,48.35,mid starboard,0.016,18.12,0.0000,0.0000,0.0000
3.6,3.000,0.000,0.0781,60.00,44.69,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.7,3.000,0.000,0.0126,33.57,45.09,mid starboard,0.146,11.52,0.0000,0.0000,0.0000
3.8,3.000,0.000,0.0002,0.26,52.19,mid starboard,0.252,51.93,1.0000,1.0000,0.0002
3.9,3.000,0.000,0.0009,0.26,52.21,mid starboard,0.252,51.95,1.0000,1.0000,0.0009
4.1,3.000,0.000,0.0059,25.87,39.73,aft starboard,0.083,13.87,0.8003,0.8003,0.0047
4.2,3.000,0.000,0.0114,60.00,33.42,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.000,0.000,0.0003,60.00,46.41,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.4,3.000,0.000,0.0000,0.71,52.11,mid starboard,0.251,51.40,1.0000,1.0000,0.0000
4.5,3.000,0.000,0.0000,0.67,52.07,mid starboard,0.247,51.40,1.0000,1.0000,0.0000
4.6,3.000,0.000,0.0003,60.00,48.57,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.7,3.000,0.000,0.0065,32.36,44.64,mid starboard,0.176,12.29,0.0000,0.0000,0.0000
4.8,3.000,0.000,0.0110,43.47,42.94,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.9,3.000,0.000,0.0000,60.00,44.50,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.10,3.000,0.000,0.0006,33.75,45.00,mid starboard,0.149,11.24,0.0000,0.0000,0.0000
4.11,3.000,0.000,0.0127,0.43,51.81,mid starboard,0.279,51.39,1.0000,1.0000,0.0127
4.12,3.000,0.000,0.0081,0.26,52.19,mid starboard,0.252,51.93,1.0000,1.0000,0.0081
