Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0032,0.22,51.93,mid starboard,0.244,51.70,1.0000,1.0000,0.0032
1.2,3.000,0.000,0.0027,1.47,51.63,mid starboard,0.226,50.16,1.0000,1.0000,0.0027
1.3,3.000,0.000,0.0000,0.00,52.34,mid starboard,0.259,52.34,1.0000,1.0000,0.0000
1.4,3.000,0.000,0.0001,0.00,52.34,mid starboard,0.259,52.34,1.0000,1.0000,0.0001
1.5,3.000,0.000,0.0037,2.42,51.84,mid starboard,0.206,49.43,1.0000,1.0000,0.0037
1.6,3.000,0.000,0.0000,0.82,52.00,mid starboard,0.253,51.17,1.0000,1.0000,0.0000
2.1,3.000,0.000,0.0082,4.08,50.01,mid starboard,0.249,45.93,1.0000,1.0000,0.0082
2.2,3.000,0.000,0.0282,0.22,49.89,mid starboard,0.218,49.67,1.0000,1.0000,0.0282
2.3,3.000,0.000,0.0017,1.93,51.23,mid starboard,0.212,49.29,1.0000,1.0000,0.0017
2.4,3.000,0.000,0.0236,1.47,49.77,mid starboard,0.183,48.30,1.0000,1.0000,0.0236
2.5,3.000,0.000,0.0020,8.53,48.75,mid starboard,0.248,40.22,1.0000,1.0000,0.0020
2.6,3.000,0.000,0.0048,6.58,50.96,mid starboard,0.177,44.38,1.0000,1.0000,0.0048
2.7,3.000,0.000,0.0002,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0002
2.8,3.000,0.000,0.0001,0.00,52.34,mid starboard,0.258,52.34,1.0000,1.0000,0.0001
2.9,3.000,0.000,0.0038,6.78,51.23,mid starboard,0.171,44.45,1.0000,1.0000,0.0038
2.10,3.000,0.000,0.0004,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0004
2.11,3.000,0.000,0.0100,2.41,49.02,mid starboard,0.141,32.21,1.0000,1.0000,0.0100
2.12,3.000,0.000,0.0001,0.82,51.91,mid starboard,0.252,51.09,1.0000,1.0000,0.0001
2.13,3.000,0.000,0.0138,0.90,51.94,mid starboard,0.258,51.04,1.0000,1.0000,0.0138
3.1,3.000,0.000,0.0718,4.09,46.56,aft starboard,0.197,42.47,1.0000,1.0000,0.0718
3.2,3.000,0.000,0.0178,8.56,46.52,mid starboard,0.170,37.96,1.0000,1.0000,0.0178
3.3,3.000,0.000,0.0014,8.53,48.72,mid starboard,0.250,40.20,1.0000,1.0000,0.0014
3.4,3.000,0.000,0.0022,11.52,50.27,mid starboard,0.149,38.75,1.0000,1.0000,0.0022
3.5,3.000,0.000,0.0024,13.07,50.74,mid starboard,0.124,37.66,1.0000,1.0000,0.0024
3.6,3.000,0.000,0.0085,21.30,47.30,mid starboard,0.286,26.00,1.0000,1.0000,0.0085
3.7,3.000,0.000,0.0225,2.41,48.12,mid starboard,0.141,32.23,1.0000,1.0000,0.0225
3.8,3.000,0.000,0.0001,0.82,51.90,mid starboard,0.252,51.08,1.0000,1.0000,0.0001
3.9,3.000,0.000,0.0372,0.90,51.85,mid starboard,0.256,50.95,1.0000,1.0000,0.0372
