Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0084,0.00,51.86,mid starboard,0.247,51.86,1.0000,1.0000,0.0084
1.2,3.000,0.000,0.0569,2.83,50.01,mid starboard,0.122,47.18,1.0000,1.0000,0.0569
1.3,3.000,0.000,0.0507,3.46,49.90,mid starboard,0.116,36.82,0.9923,0.9923,0.0503
1.4,3.000,0.000,0.0027,0.05,52.28,mid starboard,0.256,52.23,1.0000,1.0000,0.0027
2.1,3.000,0.000,0.0804,3.18,47.72,mid starboard,0.177,44.54,1.0000,1.0000,0.0804
2.2,3.000,0.000,0.0090,2.86,49.56,mid starboard,0.110,42.16,0.9796,0.9796,0.0088
2.3,3.000,0.000,0.1124,60.00,39.46,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.4,3.000,0.000,0.0191,60.00,47.73,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.5,3.000,0.000,0.2025,60.00,40.40,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.6,3.000,0.000,0.0432,0.08,51.67,mid starboard,0.284,51.59,1.0000,1.0000,0.0432
2.7,3.000,0.000,0.0213,0.00,52.32,mid starboard,0.260,52.32,1.0000,1.0000,0.0213
3.1,3.000,0.000,0.0321,4.13,45.45,aft starboard,0.203,41.32,1.0000,1.0000,0.0321
3.2,3.000,0.000,0.0370,60.00,28.96,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.000,0.000,0.0000,60.00,47.32,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.4,3.000,0.000,0.1027,60.00,28.65,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.5,3.000,0.000,0.0140,60.00,40.17,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.6,3.000,0.000,0.0083,0.00,51.67,mid starboard,0.284,51.67,1.0000,1.0000,0.0083
3.7,3.000,0.000,0.0127,0.00,52.32,mid starboard,0.260,52.32,1.0000,1.0000,0.0127
4.1,3.000,0.000,-0.0025,0.08,45.45,aft starboard,0.204,45.38,1.0000,1.0000,-0.0025
4.2,3.000,0.000,0.0391,60.00,30.74,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.000,0.000,-0.0096,9.86,25.70,aft starboard,0.096,15.84,0.9442,0.9442,-0.0090
4.4,3.000,0.000,0.0363,60.00,32.27,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.5,3.000,0.000,-0.0062,8.62,21.33,mid starboard,0.284,12.71,0.9440,0.9440,-0.0059
4.6,3.000,0.000,0.0004,60.00,40.17,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.7,3.000,0.000,0.0296,0.09,51.61,mid starboard,0.287,51.53,1.0000,1.0000,0.0296
5.1,3.000,0.000,-0.0006,0.00,45.45,aft starboard,0.204,45.45,1.0000,1.0000,-0.0006
5.2,3.000,0.000,0.0053,0.00,25.70,aft starboard,0.100,25.70,0.9555,0.9555,0.0050
5.3,3.000,0.000,0.0004,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,0.0004
5.4,3.000,0.000,0.0377,60.00,22.73,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.000,0.000,0.0202,60.00,12.49,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.0000,60.00,28.04,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.000,0.000,0.0158,60.00,13.64,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.000,0.000,0.0165,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0165
7.1,3.000,0.000,0.0098,,,,,,,0.0000,0.0000
7.2,3.000,0.000,0.0053,60.00,19.99,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
1.1,3.600,0.000,0.0084,0.08,40.02,mid starboard,0.383,39.94,1.0000,1.0000,0.0084
1.2,3.600,0.000,0.0569,4.33,38.60,mid starboard,0.257,34.27,1.0000,1.0000,0.0569
1.3,3.600,0.000,0.0507,4.38,38.64,mid starboard,0.244,34.26,1.0000,1.0000,0.0507
1.4,3.600,0.000,0.0027,0.08,40.30,mid starboard,0.403,40.23,1.0000,1.0000,0.0027
2.1,3.600,0.000,0.0804,5.81,33.57,aft starboard,0.241,27.76,1.0000,1.0000,0.0804
2.2,3.600,0.000,0.0090,4.69,38.28,mid starboard,0.232,33.58,1.0000,1.0000,0.0090
2.3,3.600,0.000,0.1124,60.00,28.41,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.4,3.600,0.000,0.0191,14.19,36.99,mid starboard,0.086,22.80,0.9200,0.9200,0.0176
2.5,3.600,0.000,0.2025,60.00,30.76,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.6,3.600,0.000,0.0432,0.13,39.37,mid starboard,0.459,39.23,1.0000,1.0000,0.0432
2.7,3.600,0.000,0.0213,0.00,40.31,mid starboard,0.410,40.31,1.0000,1.0000,0.0213
3.1,3.600,0.000,0.0321,7.38,27.97,aft starboard,0.226,20.59,1.0000,1.0000,0.0321
3.2,3.600,0.000,0.0370,60.00,18.69,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.600,0.000,0.0000,16.41,36.69,mid starboard,0.060,20.28,0.8412,0.8412,0.0000
3.4,3.600,0.000,0.1027,60.00,18.59,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.5,3.600,0.000,0.0140,60.00,30.57,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.6,3.600,0.000,0.0083,0.00,39.37,mid starboard,0.459,39.37,1.0000,1.0000,0.0083
3.7,3.600,0.000,0.0127,0.00,40.31,mid starboard,0.410,40.31,1.0000,1.0000,0.0127
4.1,3.600,0.000,-0.0025,0.75,26.80,aft starboard,0.246,26.05,1.0000,1.0000,-0.0025
4.2,3.600,0.000,0.0391,60.00,21.88,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.600,0.000,-0.0096,32.42,11.73,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
