Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.1182,5.46,44.38,aft starboard,0.175,38.92,1.0000,1.0000,0.1182
1.2,3.000,0.000,0.0698,11.50,45.35,aft starboard,0.135,33.85,1.0000,1.0000,0.0698
1.3,3.000,0.000,0.0629,17.19,45.59,mid starboard,0.089,28.41,0.9281,0.9281,0.0583
1.4,3.000,0.000,0.3173,60.00,35.42,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
1.5,3.000,0.000,0.0367,0.81,51.95,mid starboard,0.251,51.14,1.0000,1.0000,0.0367
2.1,3.000,0.000,0.0053,5.65,43.96,aft starboard,0.183,38.32,1.0000,1.0000,0.0053
2.2,3.000,0.000,0.0553,60.00,30.35,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.000,0.000,0.0018,11.18,44.59,aft starboard,0.154,33.40,1.0000,1.0000,0.0018
2.4,3.000,0.000,0.0524,60.00,35.05,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.5,3.000,0.000,0.0012,16.04,45.17,mid starboard,0.115,29.14,0.9900,0.9900,0.0012
2.6,3.000,0.000,0.0589,60.00,29.85,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.7,3.000,0.000,0.0157,60.00,33.49,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.8,3.000,0.000,0.0361,60.00,33.52,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.9,3.000,0.000,0.0202,0.88,51.74,mid starboard,0.263,50.86,1.0000,1.0000,0.0202
3.1,3.000,0.000,0.0042,0.00,43.83,aft starboard,0.197,43.83,1.0000,1.0000,0.0042
3.2,3.000,0.000,0.0055,60.00,23.20,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.000,0.000,0.0002,0.00,43.84,aft starboard,0.222,43.84,1.0000,1.0000,0.0002
3.4,3.000,0.000,-0.0004,0.00,44.60,mid starboard,0.229,44.60,1.0000,1.0000,-0.0004
3.5,3.000,0.000,0.0069,60.00,25.22,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.6,3.000,0.000,0.0163,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,0.0163
3.7,3.000,0.000,0.0776,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0776
4.1,3.000,0.000,0.0029,60.00,28.23,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
