Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
2.1,3.000,0.000,0.3830,0.0000,0.0000
2.2,3.000,0.000,0.2948,1.0000,0.2948,0.00,26.60,mid starboard,0.324,26.60,1.0000
2.3,3.000,0.000,0.0146,1.0000,0.0146,0.00,51.52,mid starboard,0.271,51.52,1.0000
2.4,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
4.1,3.000,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,3.000,0.000,0.0399,1.0000,0.0399,0.00,20.66,mid starboard,0.365,20.66,1.0000
4.3,3.000,0.000,0.0387,1.0000,0.0387,0.00,50.18,mid starboard,0.311,50.18,1.0000
6.1,3.000,0.000,0.0271,0.0000,0.0000,,,,,,
2.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.2948,0.9565,0.2820,0.00,13.40,mid starboard,0.279,13.40,0.9565
2.3,3.600,0.000,0.0146,1.0000,0.0146,0.00,39.37,mid starboard,0.429,39.37,1.0000
2.4,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
4.1,3.600,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,3.600,0.000,0.0399,0.6643,0.0265,0.00,4.42,mid starboard,0.085,4.42,0.6643
4.3,3.600,0.000,0.0387,1.0000,0.0387,0.00,37.63,mid starboard,0.512,37.63,1.0000
6.1,3.600,0.000,0.0271,0.0000,0.0000,,,,,,
2.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.2948,0.7561,0.2229,0.00,5.23,mid starboard,0.122,5.23,0.7561
2.3,4.000,0.000,0.0146,1.0000,0.0146,0.00,32.63,mid starboard,0.470,32.63,1.0000
2.4,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
4.1,4.000,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,4.000,0.000,0.0399,0.0000,0.0000,,,,,,
4.3,4.000,0.000,0.0387,1.0000,0.0387,0.00,30.55,mid starboard,0.527,30.55,1.0000
6.1,4.000,0.000,0.0271,0.0000,0.0000,,,,,,
