Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0002,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0002
1.2,3.000,0.000,0.0005,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0005
2.1,3.000,0.000,0.0006,0.00,52.32,mid starboard,0.256,52.32,1.0000,1.0000,0.0006
3.1,3.000,0.000,0.0049,0.01,52.16,mid starboard,0.245,52.15,1.0000,1.0000,0.0049
3.2,3.000,0.000,0.0012,0.02,52.29,mid starboard,0.257,52.27,1.0000,1.0000,0.0012
4.1,3.000,0.000,0.0053,0.03,52.10,mid starboard,0.243,52.08,1.0000,1.0000,0.0053
4.2,3.000,0.000,0.0731,7.34,49.10,mid starboard,0.096,33.48,0.9469,0.9469,0.0692
5.1,3.000,0.000,0.2933,60.00,31.59,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.000,0.000,0.0000,0.03,52.10,mid starboard,0.243,52.08,1.0000,1.0000,0.0000
6.1,3.000,0.000,0.0989,0.05,51.61,mid starboard,0.287,51.56,1.0000,1.0000,0.0989
7.1,3.000,0.000,0.0977,60.00,11.59,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
7.2,3.000,0.000,0.0035,0.04,51.92,mid starboard,0.229,51.88,1.0000,1.0000,0.0035
7.3,3.000,0.000,0.1219,60.00,44.12,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.4,3.000,0.000,0.0584,10.17,44.82,mid starboard,0.226,34.65,1.0000,1.0000,0.0584
7.5,3.000,0.000,0.0113,7.44,48.96,mid starboard,0.093,32.64,0.9390,0.9390,0.0106
1.1,3.600,0.000,0.0002,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0002
1.2,3.600,0.000,0.0005,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0005
2.1,3.600,0.000,0.0006,0.00,40.35,mid starboard,0.404,40.35,1.0000,1.0000,0.0006
3.1,3.600,0.000,0.0049,0.09,40.23,mid starboard,0.392,40.13,1.0000,1.0000,0.0049
3.2,3.600,0.000,0.0012,0.05,40.32,mid starboard,0.404,40.28,1.0000,1.0000,0.0012
4.1,3.600,0.000,0.0053,0.15,40.20,mid starboard,0.390,40.05,1.0000,1.0000,0.0053
4.2,3.600,0.000,0.0731,7.24,37.81,mid starboard,0.232,30.57,1.0000,1.0000,0.0731
5.1,3.600,0.000,0.2933,60.00,22.61,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.600,0.000,0.0000,0.15,40.20,mid starboard,0.390,40.05,1.0000,1.0000,0.0000
6.1,3.600,0.000,0.0989,0.09,39.25,mid starboard,0.469,39.16,1.0000,1.0000,0.0989
7.1,3.600,0.000,0.0977,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
7.2,3.600,0.000,0.0035,0.26,40.06,mid starboard,0.375,39.81,1.0000,1.0000,0.0035
7.3,3.600,0.000,0.1219,60.00,33.88,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.4,3.600,0.000,0.0584,8.65,33.08,mid starboard,0.362,24.43,1.0000,1.0000,0.0584
7.5,3.600,0.000,0.0113,7.37,37.72,mid starboard,0.226,30.35,1.0000,1.0000,0.0113
1.1,4.000,0.000,0.0002,0.00,33.72,mid starboard,0.440,33.72,1.0000,1.0000,0.0002
1.2,4.000,0.000,0.0005,0.01,33.72,mid starboard,0.440,33.71,1.0000,1.0000,0.0005
2.1,4.000,0.000,0.0006,0.01,33.71,mid starboard,0.439,33.70,1.0000,1.0000,0.0006
3.1,4.000,0.000,0.0049,0.18,33.61,mid starboard,0.427,33.43,1.0000,1.0000,0.0049
3.2,4.000,0.000,0.0012,0.07,33.68,mid starboard,0.438,33.62,1.0000,1.0000,0.0012
4.1,4.000,0.000,0.0053,0.25,33.60,mid starboard,0.424,33.35,1.0000,1.0000,0.0053
4.2,4.000,0.000,0.0731,7.15,31.43,mid starboard,0.266,24.28,1.0000,1.0000,0.0731
5.1,4.000,0.000,0.2933,60.00,17.11,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,4.000,0.000,0.0000,0.25,33.60,mid starboard,0.424,33.35,1.0000,1.0000,0.0000
6.1,4.000,0.000,0.0989,0.12,32.39,mid starboard,0.505,32.28,1.0000,1.0000,0.0989
7.1,4.000,0.000,0.0977,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
7.2,4.000,0.000,0.0035,0.44,33.48,mid starboard,0.411,33.04,1.0000,1.0000,0.0035
7.3,4.000,0.000,0.1219,60.00,28.00,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.4,4.000,0.000,0.0584,8.12,26.46,mid starboard,0.336,18.34,1.0000,1.0000,0.0584
7.5,4.000,0.000,0.0113,7.31,31.34,mid starboard,0.259,24.02,1.0000,1.0000,0.0113
