Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
2.1,3.000,0.000,0.3830,0.0000,0.0000
2.2,3.000,0.000,0.0737,1.0000,0.0737,0.00,43.97,mid starboard,0.197,43.97,1.0000
2.3,3.000,0.000,0.2141,1.0000,0.2141,0.00,36.89,mid starboard,0.338,36.89,1.0000
2.4,3.000,0.000,0.0029,1.0000,0.0029,0.00,52.14,mid starboard,0.264,52.14,1.0000
2.5,3.000,0.000,0.1120,1.0000,0.1120,0.00,51.91,mid starboard,0.278,51.91,1.0000
4.1,3.000,0.000,0.0616,0.0000,0.0000,,,,,,
4.2,3.000,0.000,0.0616,1.0000,0.0616,0.00,20.66,mid starboard,0.365,20.66,1.0000
4.3,3.000,0.000,0.0206,1.0000,0.0206,0.00,35.25,mid starboard,0.369,35.25,1.0000
4.4,3.000,0.000,0.0197,1.0000,0.0197,0.00,51.61,mid starboard,0.287,51.61,1.0000
6.1,3.000,0.000,0.0058,0.0000,0.0000,,,,,,
6.2,3.000,0.000,0.0000,1.0000,0.0000,0.00,17.40,mid starboard,0.323,17.40,1.0000
6.3,3.000,0.000,0.0452,0.0000,0.0000,60.00,12.91,mid starboard,0.000,0.00,0.0000
2.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.0737,1.0000,0.0737,0.00,32.08,mid starboard,0.315,32.08,1.0000
2.3,3.600,0.000,0.2141,1.0000,0.2141,0.00,24.02,mid starboard,0.420,24.02,1.0000
2.4,3.600,0.000,0.0029,1.0000,0.0029,0.00,40.09,mid starboard,0.416,40.09,1.0000
2.5,3.600,0.000,0.1120,1.0000,0.1120,0.00,39.65,mid starboard,0.448,39.65,1.0000
4.1,3.600,0.000,0.0616,0.0000,0.0000,,,,,,
4.2,3.600,0.000,0.0616,0.6645,0.0409,0.00,4.42,mid starboard,0.085,4.42,0.6645
4.3,3.600,0.000,0.0206,1.0000,0.0206,0.00,22.22,mid starboard,0.409,22.22,1.0000
4.4,3.600,0.000,0.0197,1.0000,0.0197,0.00,39.25,mid starboard,0.469,39.25,1.0000
6.1,3.600,0.000,0.0058,0.0000,0.0000,,,,,,
6.2,3.600,0.000,0.0000,0.0000,0.0000,,,,,,
6.3,3.600,0.000,0.0452,0.0000,0.0000,,,,,,
2.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.0737,1.0000,0.0737,0.00,25.38,mid starboard,0.314,25.38,1.0000
2.3,4.000,0.000,0.2141,1.0000,0.2141,0.00,16.42,mid starboard,0.345,16.42,1.0000
2.4,4.000,0.000,0.0029,1.0000,0.0029,0.00,33.41,mid starboard,0.454,33.41,1.0000
2.5,4.000,0.000,0.1120,1.0000,0.1120,0.00,32.85,mid starboard,0.491,32.85,1.0000
4.1,4.000,0.000,0.0616,0.0000,0.0000,,,,,,
4.2,4.000,0.000,0.0616,0.0000,0.0000,,,,,,
4.3,4.000,0.000,0.0206,0.9744,0.0201,0.00,14.42,mid starboard,0.312,14.42,0.9744
4.4,4.000,0.000,0.0197,1.0000,0.0197,0.00,32.39,mid starboard,0.506,32.39,1.0000
6.1,4.000,0.000,0.0058,0.0000,0.0000,,,,,,
6.2,4.000,0.000,0.0000,0.0000,0.0000,,,,,,
6.3,4.000,0.000,0.0452,0.0000,0.0000,,,,,,
