Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
2.1,3.000,0.000,0.3830,0.0000,0.0000
2.2,3.000,0.000,0.3358,1.0000,0.3358,0.00,22.24,mid starboard,0.365,22.24,1.0000
2.3,3.000,0.000,0.0010,1.0000,0.0010,0.00,52.20,mid starboard,0.262,52.20,1.0000
2.4,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
4.1,3.000,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,3.000,0.000,0.0125,1.0000,0.0125,0.00,20.66,mid starboard,0.365,20.66,1.0000
4.3,3.000,0.000,0.0121,1.0000,0.0121,0.00,51.37,mid starboard,0.292,51.37,1.0000
6.1,3.000,0.000,0.0537,0.0000,0.0000,,,,,,
2.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.3358,0.8560,0.2875,0.00,8.59,mid starboard,0.202,8.59,0.8560
2.3,3.600,0.000,0.0010,1.0000,0.0010,0.00,40.18,mid starboard,0.412,40.18,1.0000
2.4,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.26,mid starboard,0.469,39.26,1.0000
4.1,3.600,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,3.600,0.000,0.0125,0.6645,0.0083,0.00,4.42,mid starboard,0.085,4.42,0.6645
4.3,3.600,0.000,0.0121,1.0000,0.0121,0.00,38.96,mid starboard,0.482,38.96,1.0000
6.1,3.600,0.000,0.0537,0.0000,0.0000,,,,,,
2.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.3358,0.0000,0.0000,,,,,,
2.3,4.000,0.000,0.0010,1.0000,0.0010,0.00,33.52,mid starboard,0.448,33.52,1.0000
2.4,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.505,32.39,1.0000
4.1,4.000,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,4.000,0.000,0.0125,0.0000,0.0000,,,,,,
4.3,4.000,0.000,0.0121,1.0000,0.0121,0.00,32.05,mid starboard,0.513,32.05,1.0000
6.1,4.000,0.000,0.0537,0.0000,0.0000,,,,,,
