Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.2385,60.00,30.87,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
1.2,3.000,0.000,0.0002,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0002
1.3,3.000,0.000,0.0005,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0005
2.1,3.000,0.000,0.0119,60.00,28.35,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.000,0.000,0.0657,18.04,45.43,mid starboard,0.081,27.39,0.9067,0.9067,0.0596
2.3,3.000,0.000,0.0006,0.00,52.32,mid starboard,0.256,52.32,1.0000,1.0000,0.0006
2.4,3.000,0.000,0.0343,0.78,51.97,mid starboard,0.250,51.19,1.0000,1.0000,0.0343
3.1,3.000,0.000,0.0115,0.00,11.30,aft starboard,0.038,11.30,0.6879,0.6879,0.0079
3.2,3.000,0.000,0.0581,60.00,23.48,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.000,0.000,0.0015,16.52,44.91,mid starboard,0.113,28.38,0.9854,0.9854,0.0015
3.4,3.000,0.000,0.3149,60.00,35.62,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.1,3.000,0.000,-0.0024,0.00,44.33,mid starboard,0.227,44.33,1.0000,1.0000,-0.0024
4.2,3.000,0.000,0.0247,0.86,51.72,mid starboard,0.265,50.86,1.0000,1.0000,0.0247
5.1,3.000,0.000,0.0030,60.00,20.12,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.000,0.000,0.0055,0.00,44.33,mid starboard,0.227,44.33,1.0000,1.0000,0.0055
5.3,3.000,0.000,0.0586,60.00,29.94,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.4,3.000,0.000,0.0190,60.00,33.30,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.5,3.000,0.000,0.0354,60.00,33.85,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.000,0.000,0.0064,60.00,20.45,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.0751,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0751
7.1,3.000,0.000,-0.0074,,,,,,,0.0000,0.0000
7.2,3.000,0.000,0.0032,0.08,20.66,mid starboard,0.365,20.58,1.0000,1.0000,0.0032
1.1,3.600,0.000,0.2385,60.00,21.16,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
1.2,3.600,0.000,0.0002,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0002
1.3,3.600,0.000,0.0005,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0005
2.1,3.600,0.000,0.0119,60.00,18.57,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.600,0.000,0.0657,15.57,33.53,aft starboard,0.174,17.96,1.0000,1.0000,0.0657
2.3,3.600,0.000,0.0006,0.00,40.35,mid starboard,0.404,40.35,1.0000,1.0000,0.0006
2.4,3.600,0.000,0.0343,0.85,39.90,mid starboard,0.405,39.05,1.0000,1.0000,0.0343
3.1,3.600,0.000,0.0115,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.600,0.000,0.0581,60.00,14.63,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.600,0.000,0.0015,15.03,32.67,aft starboard,0.190,17.64,1.0000,1.0000,0.0015
3.4,3.600,0.000,0.3149,60.00,26.12,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.1,3.600,0.000,-0.0024,0.01,30.18,aft starboard,0.306,30.17,1.0000,1.0000,-0.0024
4.2,3.600,0.000,0.0247,0.93,39.54,mid starboard,0.435,38.61,1.0000,1.0000,0.0247
5.1,3.600,0.000,0.0030,60.00,10.73,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.600,0.000,0.0055,0.00,30.18,aft starboard,0.306,30.18,1.0000,1.0000,0.0055
5.3,3.600,0.000,0.0586,60.00,21.13,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.4,3.600,0.000,0.0190,60.00,23.73,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.5,3.600,0.000,0.0354,60.00,24.32,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.600,0.000,0.0064,60.00,11.58,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.600,0.000,0.0751,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.0751
7.1,3.600,0.000,-0.0074,,,,,,,0.0000,0.0000
7.2,3.600,0.000,0.0032,0.07,4.45,mid starboard,0.084,4.38,0.6618,0.6618,0.0021
1.1,4.000,0.000,0.2385,60.00,15.22,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
1.2,4.000,0.000,0.0002,0.00,33.72,mid starboard,0.440,33.72,1.0000,1.0000,0.0002
1.3,4.000,0.000,0.0005,0.01,33.72,mid starboard,0.440,33.71,1.0000,1.0000,0.0005
2.1,4.000,0.000,0.0119,60.00,12.30,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
