Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0571,1.13,49.52,mid starboard,0.193,48.40,1.0000,1.0000,0.0571
1.2,3.000,0.000,0.0002,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0002
1.3,3.000,0.000,0.0005,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0005
2.1,3.000,0.000,0.0733,2.71,44.02,aft starboard,0.198,41.32,1.0000,1.0000,0.0733
2.2,3.000,0.000,0.1152,60.00,46.14,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.000,0.000,0.0006,0.00,52.32,mid starboard,0.256,52.32,1.0000,1.0000,0.0006
2.4,3.000,0.000,0.1438,60.00,45.71,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.5,3.000,0.000,0.1226,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1226
3.1,3.000,0.000,-0.0012,0.00,44.02,aft starboard,0.198,44.02,1.0000,1.0000,-0.0012
3.2,3.000,0.000,0.0297,60.00,41.62,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.000,0.000,0.0786,18.71,27.69,aft starboard,0.063,8.98,0.7379,0.7379,0.0580
3.4,3.000,0.000,0.2142,22.81,23.97,mid starboard,0.026,1.16,0.3545,0.3545,0.0759
3.5,3.000,0.000,0.0004,60.00,45.70,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.6,3.000,0.000,0.0115,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0115
4.1,3.000,0.000,-0.0128,0.01,27.12,aft starboard,0.115,27.11,0.9898,0.9898,-0.0127
4.2,3.000,0.000,0.0375,60.00,40.53,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.000,0.000,-0.0209,0.08,20.66,mid starboard,0.365,20.58,1.0000,1.0000,-0.0209
5.1,3.000,0.000,0.0386,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.000,0.000,0.0181,0.00,27.12,aft starboard,0.115,27.12,0.9898,0.9898,0.0179
5.3,3.000,0.000,0.0001,60.00,38.57,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.4,3.000,0.000,0.0199,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,0.0199
5.5,3.000,0.000,0.0658,,,,,,,0.0000,0.0000
6.1,3.000,0.000,0.0309,60.00,3.55,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.1,3.000,0.000,-0.0088,,,,,,,0.0000,0.0000
7.2,3.000,0.000,0.0025,,,,,,,0.0000,0.0000
1.1,3.600,0.000,0.0571,2.59,37.42,aft starboard,0.293,34.82,1.0000,1.0000,0.0571
1.2,3.600,0.000,0.0002,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0002
1.3,3.600,0.000,0.0005,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0005
2.1,3.600,0.000,0.0733,5.46,25.55,aft starboard,0.224,20.09,1.0000,1.0000,0.0733
2.2,3.600,0.000,0.1152,20.76,34.20,aft starboard,0.063,13.44,0.8158,0.8158,0.0940
2.3,3.600,0.000,0.0006,0.00,40.35,mid starboard,0.404,40.35,1.0000,1.0000,0.0006
2.4,3.600,0.000,0.1438,60.00,35.40,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.5,3.600,0.000,0.1226,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1226
3.1,3.600,0.000,-0.0012,0.00,25.29,aft starboard,0.230,25.29,1.0000,1.0000,-0.0012
3.2,3.600,0.000,0.0297,60.00,30.22,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.600,0.000,0.0786,37.66,16.06,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.4,3.600,0.000,0.2142,24.79,12.84,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.5,3.600,0.000,0.0004,60.00,35.40,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.6,3.600,0.000,0.0115,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.0115
4.1,3.600,0.000,-0.0128,0.08,12.27,aft starboard,0.056,12.19,0.7731,0.7731,-0.0099
4.2,3.600,0.000,0.0375,60.00,31.36,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.600,0.000,-0.0209,0.07,4.46,mid starboard,0.084,4.39,0.6625,0.6625,-0.0139
5.1,3.600,0.000,0.0386,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.600,0.000,0.0181,0.00,12.27,aft starboard,0.056,12.27,0.7744,0.7744,0.0140
5.3,3.600,0.000,0.0001,60.00,28.45,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.4,3.600,0.000,0.0199,0.00,4.41,mid starboard,0.085,4.41,0.6642,0.6642,0.0132
5.5,3.600,0.000,0.0658,,,,,,,0.0000,0.0000
6.1,3.600,0.000,0.0309,,,,,,,0.0000,0.0000
7.1,3.600,0.000,-0.0088,,,,,,,0.0000,0.0000
7.2,3.600,0.000,0.0025,,,,,,,0.0000,0.0000
1.1,4.000,0.000,0.0571,3.38,30.08,aft starboard,0.309,26.70,1.0000,1.0000,0.0571
1.2,4.000,0.000,0.0002,0.00,33.72,mid starboard,0.440,33.72,1.0000,1.0000,0.0002
1.3,4.000,0.000,0.0005,0.01,33.72,mid starboard,0.440,33.71,1.0000,1.0000,0.0005
2.1,4.000,0.000,0.0733,6.53,17.37,aft starboard,0.137,10.84,0.9072,0.9072,0.0665
2.2,4.000,0.000,0.1152,18.44,27.57,aft starboard,0.076,9.13,0.7744,0.7744,0.0892
