Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0111,7.00,50.76,mid starboard,0.168,43.75,1.0000,1.0000,0.0111
1.2,3.000,0.000,0.0073,7.15,51.27,mid starboard,0.160,44.12,1.0000,1.0000,0.0073
1.3,3.000,0.000,0.0000,0.82,52.00,mid starboard,0.253,51.18,1.0000,1.0000,0.0000
2.1,3.000,0.000,0.0039,13.48,49.88,mid starboard,0.137,36.41,1.0000,1.0000,0.0039
2.2,3.000,0.000,0.0971,6.74,48.21,mid starboard,0.048,26.05,0.7951,0.7951,0.0772
2.3,3.000,0.000,0.0025,19.38,49.71,mid starboard,0.079,30.34,0.9002,0.9002,0.0022
2.4,3.000,0.000,0.0636,6.96,48.96,mid starboard,0.061,26.80,0.8428,0.8428,0.0536
2.5,3.000,0.000,0.0027,13.08,50.74,mid starboard,0.124,37.66,1.0000,1.0000,0.0027
2.6,3.000,0.000,0.0138,0.90,51.94,mid starboard,0.258,51.04,1.0000,1.0000,0.0138
3.1,3.000,0.000,0.0133,23.69,34.73,aft starboard,0.128,11.04,0.9114,0.9114,0.0121
3.2,3.000,0.000,0.0000,6.96,48.96,mid starboard,0.061,26.80,0.8428,0.8428,0.0000
3.3,3.000,0.000,0.0002,0.82,51.90,mid starboard,0.252,51.08,1.0000,1.0000,0.0002
4.1,3.000,0.000,0.0111,23.24,34.10,aft starboard,0.145,10.87,0.9078,0.9078,0.0100
4.2,3.000,0.000,0.0338,60.00,39.45,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.000,0.000,0.0006,30.24,48.35,mid starboard,0.016,18.10,0.0000,0.0000,0.0000
4.4,3.000,0.000,0.0215,60.00,45.24,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.5,3.000,0.000,0.0126,28.80,42.87,mid starboard,0.270,14.08,0.4747,0.4747,0.0060
4.6,3.000,0.000,0.0232,60.00,44.60,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.7,3.000,0.000,0.1205,0.90,51.84,mid starboard,0.256,50.94,1.0000,1.0000,0.1205
5.1,3.000,0.000,0.1160,60.00,22.38,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.000,0.000,0.0133,26.45,41.70,mid starboard,0.369,15.24,0.8321,0.8321,0.0111
5.3,3.000,0.000,0.0006,28.33,42.42,mid starboard,0.317,14.09,0.5598,0.5598,0.0004
6.1,3.000,0.000,0.0968,60.00,21.88,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.1101,60.00,35.68,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.000,0.000,0.0000,60.00,43.99,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.1,3.000,0.000,0.0021,37.48,32.15,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.2,3.000,0.000,0.1166,60.00,34.45,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.3,3.000,0.000,0.0061,25.96,41.21,mid starboard,0.426,15.25,0.8883,0.8883,0.0054
1.1,3.600,0.000,0.0044,6.94,39.17,mid starboard,0.330,32.23,1.0000,1.0000,0.0044
1.2,3.600,0.000,0.0029,6.45,39.51,mid starboard,0.336,33.06,1.0000,1.0000,0.0029
