Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.0002,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0002
2.2,3.000,0.000,0.0005,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0005
4.1,3.000,0.000,0.0006,0.00,52.32,mid starboard,0.256,52.32,1.0000,1.0000,0.0006
4.2,3.000,0.000,0.0028,0.00,51.75,mid starboard,0.260,51.75,1.0000,1.0000,0.0028
4.3,3.000,0.000,0.0369,0.00,50.52,mid starboard,0.279,50.52,1.0000,1.0000,0.0369
5.1,3.000,0.000,0.1130,7.78,47.99,mid starboard,0.038,23.15,0.7486,0.7486,0.0846
5.2,3.000,0.000,0.0730,7.76,48.88,mid starboard,0.051,24.76,0.8086,0.8086,0.0590
5.3,3.000,0.000,0.0000,0.00,51.75,mid starboard,0.260,51.75,1.0000,1.0000,0.0000
5.4,3.000,0.000,-0.0008,0.00,50.52,mid starboard,0.279,50.52,1.0000,1.0000,-0.0008
5.5,3.000,0.000,0.1315,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1315
6.1,3.000,0.000,0.0010,7.76,48.84,mid starboard,0.051,24.71,0.8086,0.8086,0.0008
6.2,3.000,0.000,0.0026,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0026
7.1,3.000,0.000,0.0006,7.76,48.80,mid starboard,0.051,24.71,0.8086,0.8086,0.0004
2.1,3.600,0.000,0.0002,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0002
2.2,3.600,0.000,0.0005,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0005
4.1,3.600,0.000,0.0006,0.00,40.35,mid starboard,0.404,40.35,1.0000,1.0000,0.0006
4.2,3.600,0.000,0.0028,0.00,39.71,mid starboard,0.410,39.71,1.0000,1.0000,0.0028
4.3,3.600,0.000,0.0369,0.00,38.29,mid starboard,0.446,38.29,1.0000,1.0000,0.0369
5.1,3.600,0.000,0.1130,10.72,36.25,aft starboard,0.146,25.53,1.0000,1.0000,0.1130
5.2,3.600,0.000,0.0730,8.20,37.85,mid starboard,0.172,29.64,1.0000,1.0000,0.0730
5.3,3.600,0.000,0.0000,0.00,39.71,mid starboard,0.410,39.71,1.0000,1.0000,0.0000
5.4,3.600,0.000,-0.0008,0.00,38.29,mid starboard,0.446,38.29,1.0000,1.0000,-0.0008
5.5,3.600,0.000,0.1315,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1315
6.1,3.600,0.000,0.0010,8.20,37.83,mid starboard,0.171,29.63,1.0000,1.0000,0.0010
6.2,3.600,0.000,0.0026,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.0026
7.1,3.600,0.000,0.0006,8.20,37.82,mid starboard,0.171,29.62,1.0000,1.0000,0.0006
2.1,4.000,0.000,0.0002,0.00,33.72,mid starboard,0.440,33.72,1.0000,1.0000,0.0002
2.2,4.000,0.000,0.0005,0.01,33.72,mid starboard,0.440,33.71,1.0000,1.0000,0.0005
4.1,4.000,0.000,0.0006,0.01,33.71,mid starboard,0.439,33.70,1.0000,1.0000,0.0006
4.2,4.000,0.000,0.0028,0.00,33.05,mid starboard,0.447,33.05,1.0000,1.0000,0.0028
4.3,4.000,0.000,0.0369,0.00,31.48,mid starboard,0.483,31.48,1.0000,1.0000,0.0369
5.1,4.000,0.000,0.1130,11.34,29.18,aft starboard,0.174,17.84,1.0000,1.0000,0.1130
5.2,4.000,0.000,0.0730,8.19,31.64,mid starboard,0.204,23.45,1.0000,1.0000,0.0730
5.3,4.000,0.000,0.0000,0.00,33.05,mid starboard,0.447,33.05,1.0000,1.0000,0.0000
5.4,4.000,0.000,-0.0008,0.00,31.47,mid starboard,0.483,31.47,1.0000,1.0000,-0.0008
5.5,4.000,0.000,0.1315,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1315
6.1,4.000,0.000,0.0010,8.19,31.63,mid starboard,0.203,23.44,1.0000,1.0000,0.0010
6.2,4.000,0.000,0.0026,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.0026
7.1,4.000,0.000,0.0006,8.19,31.63,mid starboard,0.203,23.43,1.0000,1.0000,0.0006
