Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
2.1,3.000,0.000,0.3830,0.0000,0.0000
2.2,3.000,0.000,0.1657,1.0000,0.1657,0.00,37.44,mid starboard,0.183,37.44,1.0000
2.3,3.000,0.000,0.1187,1.0000,0.1187,0.00,45.56,mid starboard,0.293,45.56,1.0000
2.4,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
4.1,3.000,0.000,0.0669,0.0000,0.0000,,,,,,
4.2,3.000,0.000,0.0649,1.0000,0.0649,0.00,20.66,mid starboard,0.365,20.66,1.0000
4.3,3.000,0.000,0.0638,1.0000,0.0638,0.00,39.45,mid starboard,0.325,39.45,1.0000
6.1,3.000,0.000,0.0004,0.0000,0.0000,,,,,,
6.2,3.000,0.000,0.0020,0.0000,0.0000,,,,,,
2.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.1657,1.0000,0.1657,0.00,25.34,mid starboard,0.291,25.34,1.0000
2.3,3.600,0.000,0.1187,1.0000,0.1187,0.00,33.05,mid starboard,0.467,33.05,1.0000
2.4,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
4.1,3.600,0.000,0.0669,0.0000,0.0000,,,,,,
4.2,3.600,0.000,0.0649,0.6654,0.0432,0.00,4.43,mid starboard,0.085,4.43,0.6654
4.3,3.600,0.000,0.0638,1.0000,0.0638,0.00,25.72,mid starboard,0.381,25.72,1.0000
6.1,3.600,0.000,0.0004,0.0000,0.0000,,,,,,
6.2,3.600,0.000,0.0020,0.0000,0.0000,,,,,,
2.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.1657,1.0000,0.1657,0.00,18.13,mid starboard,0.265,18.13,1.0000
2.3,4.000,0.000,0.1187,1.0000,0.1187,0.00,25.97,mid starboard,0.462,25.97,1.0000
2.4,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
4.1,4.000,0.000,0.0669,0.0000,0.0000,,,,,,
4.2,4.000,0.000,0.0649,0.0000,0.0000,,,,,,
4.3,4.000,0.000,0.0638,1.0000,0.0638,0.00,17.17,mid starboard,0.304,17.17,1.0000
6.1,4.000,0.000,0.0004,0.0000,0.0000,,,,,,
6.2,4.000,0.000,0.0020,0.0000,0.0000,,,,,,
