Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
2.1,3.000,0.000,0.3830,0.0000,0.0000
2.2,3.000,0.000,0.3011,1.0000,0.3011,0.00,25.96,mid starboard,0.333,25.96,1.0000
2.3,3.000,0.000,0.0116,1.0000,0.0116,0.00,51.65,mid starboard,0.270,51.65,1.0000
2.4,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
4.1,3.000,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,3.000,0.000,0.0367,1.0000,0.0367,0.00,20.66,mid starboard,0.365,20.66,1.0000
4.3,3.000,0.000,0.0355,1.0000,0.0355,0.00,50.41,mid starboard,0.308,50.41,1.0000
6.1,3.000,0.000,0.0303,0.0000,0.0000,,,,,,
2.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.3011,0.9442,0.2843,0.00,12.72,mid starboard,0.273,12.72,0.9442
2.3,3.600,0.000,0.0116,1.0000,0.0116,0.00,39.52,mid starboard,0.426,39.52,1.0000
2.4,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
4.1,3.600,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,3.600,0.000,0.0367,0.6644,0.0244,0.00,4.42,mid starboard,0.085,4.42,0.6644
4.3,3.600,0.000,0.0355,1.0000,0.0355,0.00,37.89,mid starboard,0.509,37.89,1.0000
6.1,3.600,0.000,0.0303,0.0000,0.0000,,,,,,
2.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.3011,0.7060,0.2126,0.00,4.50,mid starboard,0.106,4.50,0.7060
2.3,4.000,0.000,0.0116,1.0000,0.0116,0.00,32.80,mid starboard,0.467,32.80,1.0000
2.4,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
4.1,4.000,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,4.000,0.000,0.0367,0.0000,0.0000,,,,,,
4.3,4.000,0.000,0.0355,1.0000,0.0355,0.00,30.83,mid starboard,0.527,30.83,1.0000
6.1,4.000,0.000,0.0303,0.0000,0.0000,,,,,,
