Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0675,2.17,48.50,mid starboard,0.187,46.33,1.0000,1.0000,0.0675
1.2,3.000,0.000,0.1899,60.00,40.81,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.1,3.000,0.000,0.0364,3.13,46.69,aft starboard,0.208,43.55,1.0000,1.0000,0.0364
2.2,3.000,0.000,-0.0297,60.00,33.41,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.000,0.000,0.0081,60.00,26.86,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.1,3.000,0.000,6.2089,0.00,46.69,aft starboard,0.208,46.69,1.0000,1.0000,6.2089
3.2,3.000,0.000,14.2116,0.00,23.89,aft starboard,0.081,23.89,0.9052,0.9052,12.8644
3.3,3.000,0.000,0.0208,7.37,49.70,mid starboard,0.126,42.33,1.0000,1.0000,0.0208
3.4,3.000,0.000,0.1969,60.00,44.26,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.1,3.000,0.000,0.0941,60.00,8.99,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.000,0.000,0.0220,60.00,38.32,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.1,3.000,0.000,-0.0010,60.00,31.53,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.000,0.000,6.4934,,,,,,,0.0000,0.0000
6.2,3.000,0.000,0.0000,6.47,48.30,mid starboard,0.212,41.82,1.0000,1.0000,0.0000
6.3,3.000,0.000,0.0173,60.00,41.93,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.000,0.000,0.0697,31.95,32.27,mid starboard,0.004,0.33,0.0000,0.0000,0.0000
6.5,3.000,0.000,0.0345,60.00,44.15,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.6,3.000,0.000,0.1300,0.01,51.61,mid starboard,0.287,51.60,1.0000,1.0000,0.1300
7.1,3.000,0.000,-0.0424,60.00,34.34,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
1.1,3.600,0.000,0.0675,4.29,35.09,aft starboard,0.267,30.80,1.0000,1.0000,0.0675
1.2,3.600,0.000,0.1899,60.00,29.47,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.1,3.600,0.000,0.0364,5.97,28.55,aft starboard,0.249,22.58,1.0000,1.0000,0.0364
2.2,3.600,0.000,-0.0297,60.00,24.13,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.600,0.000,0.0081,60.00,16.33,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.1,3.600,0.000,6.2089,0.00,28.08,aft starboard,0.259,28.08,1.0000,1.0000,6.2089
3.2,3.600,0.000,14.2116,0.00,7.22,aft starboard,0.008,7.22,0.4207,0.4207,5.9794
3.3,3.600,0.000,0.0208,6.95,38.25,mid starboard,0.276,31.30,1.0000,1.0000,0.0208
3.4,3.600,0.000,0.1969,60.00,34.06,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.1,3.600,0.000,0.0941,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.600,0.000,0.0220,60.00,27.82,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.1,3.600,0.000,-0.0010,60.00,22.71,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.600,0.000,6.4934,,,,,,,0.0000,0.0000
6.2,3.600,0.000,0.0000,6.41,36.39,mid starboard,0.345,29.99,1.0000,1.0000,0.0000
6.3,3.600,0.000,0.0173,60.00,32.16,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.600,0.000,0.0697,26.78,21.60,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.5,3.600,0.000,0.0345,60.00,34.00,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.6,3.600,0.000,0.1300,0.02,39.25,mid starboard,0.470,39.23,1.0000,1.0000,0.1300
7.1,3.600,0.000,-0.0424,60.00,25.93,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
1.1,4.000,0.000,0.0675,5.26,28.14,aft starboard,0.261,22.87,1.0000,1.0000,0.0675
1.2,4.000,0.000,0.1899,60.00,23.54,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.1,4.000,0.000,0.0364,7.14,21.10,aft starboard,0.179,13.96,0.9665,0.9665,0.0352
2.2,4.000,0.000,-0.0297,60.00,18.65,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,4.000,0.000,0.0081,60.00,9.17,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.1,4.000,0.000,6.2089,0.00,18.69,aft starboard,0.207,18.69,1.0000,1.0000,6.2089
3.2,4.000,0.000,14.2116,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
3.3,4.000,0.000,0.0208,6.68,31.91,mid starboard,0.308,25.24,1.0000,1.0000,0.0208
3.4,4.000,0.000,0.1969,60.00,28.13,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.1,4.000,0.000,0.0941,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
4.2,4.000,0.000,0.0220,60.00,22.08,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.1,4.000,0.000,-0.0010,60.00,17.26,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,4.000,0.000,6.4934,,,,,,,0.0000,0.0000
6.2,4.000,0.000,0.0000,6.25,30.01,mid starboard,0.345,23.75,1.0000,1.0000,0.0000
6.3,4.000,0.000,0.0173,60.00,26.41,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,4.000,0.000,0.0697,32.11,15.12,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.5,4.000,0.000,0.0345,60.00,28.07,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.6,4.000,0.000,0.1300,0.03,32.38,mid starboard,0.506,32.34,1.0000,1.0000,0.1300
7.1,4.000,0.000,-0.0424,60.00,20.63,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
