Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0123,11.97,50.17,mid starboard,0.153,38.21,1.0000,1.0000,0.0123
1.2,3.000,0.000,0.0038,7.77,51.22,mid starboard,0.171,43.45,1.0000,1.0000,0.0038
1.3,3.000,0.000,0.0025,1.78,52.00,mid starboard,0.221,50.22,1.0000,1.0000,0.0025
1.4,3.000,0.000,0.0000,0.00,51.89,mid starboard,0.279,51.89,1.0000,1.0000,0.0000
2.1,3.000,0.000,0.0027,13.47,49.88,mid starboard,0.137,36.41,1.0000,1.0000,0.0027
2.2,3.000,0.000,0.0023,21.37,49.10,mid starboard,0.076,27.74,0.8913,0.8913,0.0021
2.3,3.000,0.000,0.0008,8.05,51.12,mid starboard,0.161,43.07,1.0000,1.0000,0.0008
2.4,3.000,0.000,0.0019,11.87,50.88,mid starboard,0.138,39.01,1.0000,1.0000,0.0019
2.5,3.000,0.000,0.0005,1.78,51.95,mid starboard,0.216,50.18,1.0000,1.0000,0.0005
2.6,3.000,0.000,0.0000,0.00,51.88,mid starboard,0.277,51.88,1.0000,1.0000,0.0000
2.7,3.000,0.000,0.0113,0.07,51.83,mid starboard,0.285,51.77,1.0000,1.0000,0.0113
3.1,3.000,0.000,0.0035,16.22,49.11,mid starboard,0.125,32.88,1.0000,1.0000,0.0035
3.2,3.000,0.000,0.1309,60.00,45.25,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.000,0.000,0.0007,11.03,50.79,mid starboard,0.152,39.76,1.0000,1.0000,0.0007
3.4,3.000,0.000,0.0404,7.90,49.13,mid starboard,0.066,29.36,0.8613,0.8613,0.0348
3.5,3.000,0.000,0.0002,25.75,48.77,mid starboard,0.046,23.02,0.7237,0.7237,0.0001
3.6,3.000,0.000,0.0262,1.77,50.08,mid starboard,0.165,39.92,1.0000,1.0000,0.0262
3.7,3.000,0.000,0.0017,3.81,51.70,mid starboard,0.197,47.89,1.0000,1.0000,0.0017
3.8,3.000,0.000,0.0025,0.07,51.81,mid starboard,0.283,51.75,1.0000,1.0000,0.0025
4.1,3.000,0.000,0.0005,24.77,48.72,mid starboard,0.051,23.95,0.8062,0.8062,0.0004
4.2,3.000,0.000,0.0004,13.07,50.74,mid starboard,0.124,37.66,1.0000,1.0000,0.0004
4.3,3.000,0.000,0.0000,1.77,50.08,mid starboard,0.165,39.92,1.0000,1.0000,0.0000
4.4,3.000,0.000,0.0002,0.00,51.75,mid starboard,0.274,51.75,1.0000,1.0000,0.0002
5.1,3.000,0.000,0.0074,8.19,27.88,aft starboard,0.454,19.69,1.0000,1.0000,0.0074
5.2,3.000,0.000,0.0008,18.53,48.72,mid starboard,0.105,30.19,0.9673,0.9673,0.0007
5.3,3.000,0.000,0.0014,9.82,47.56,mid starboard,0.248,37.74,1.0000,1.0000,0.0014
5.4,3.000,0.000,0.0002,11.83,50.66,mid starboard,0.140,38.83,1.0000,1.0000,0.0002
5.5,3.000,0.000,0.0048,3.85,47.15,mid starboard,0.443,43.29,1.0000,1.0000,0.0048
