Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.2500,60.00,36.62,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
1.2,3.000,0.000,0.1925,60.00,43.58,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.1,3.000,0.000,0.1461,60.00,5.76,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.000,0.000,0.0458,60.00,33.82,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.000,0.000,0.1670,32.41,25.73,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.4,3.000,0.000,0.0027,60.00,43.55,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.5,3.000,0.000,0.1141,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1141
3.1,3.000,0.000,-0.0158,,,,,,,0.0000,0.0000
3.2,3.000,0.000,-0.0121,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,-0.0121
3.3,3.000,0.000,0.0204,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0204
4.1,3.000,0.000,0.0247,,,,,,,0.0000,0.0000
4.2,3.000,0.000,0.0607,60.00,8.69,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.000,0.000,-0.0035,,,,,,,0.0000,0.0000
6.2,3.000,0.000,0.0024,,,,,,,0.0000,0.0000
1.1,3.600,0.000,0.2500,60.00,26.65,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
1.2,3.600,0.000,0.1925,60.00,33.61,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.1,3.600,0.000,0.1461,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.600,0.000,0.0458,60.00,24.74,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.600,0.000,0.1670,60.00,15.12,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.4,3.600,0.000,0.0027,60.00,33.60,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.5,3.600,0.000,0.1141,0.00,39.26,mid starboard,0.469,39.26,1.0000,1.0000,0.1141
3.1,3.600,0.000,-0.0158,,,,,,,0.0000,0.0000
3.2,3.600,0.000,-0.0121,0.00,4.42,mid starboard,0.085,4.42,0.6643,0.6643,-0.0081
3.3,3.600,0.000,0.0204,0.00,39.26,mid starboard,0.469,39.26,1.0000,1.0000,0.0204
4.1,3.600,0.000,0.0247,,,,,,,0.0000,0.0000
4.2,3.600,0.000,0.0607,,,,,,,0.0000,0.0000
6.1,3.600,0.000,-0.0035,,,,,,,0.0000,0.0000
6.2,3.600,0.000,0.0024,,,,,,,0.0000,0.0000
1.1,4.000,0.000,0.2500,60.00,21.08,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
1.2,4.000,0.000,0.1925,60.00,27.79,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.1,4.000,0.000,0.1461,,,,,,,0.0000,0.0000
2.2,4.000,0.000,0.0458,60.00,19.31,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,4.000,0.000,0.1670,60.00,8.52,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.4,4.000,0.000,0.0027,60.00,27.78,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.5,4.000,0.000,0.1141,0.00,32.39,mid starboard,0.505,32.39,1.0000,1.0000,0.1141
3.1,4.000,0.000,-0.0158,,,,,,,0.0000,0.0000
3.2,4.000,0.000,-0.0121,,,,,,,0.0000,0.0000
3.3,4.000,0.000,0.0204,0.00,32.39,mid starboard,0.505,32.39,1.0000,1.0000,0.0204
4.1,4.000,0.000,0.0247,,,,,,,0.0000,0.0000
4.2,4.000,0.000,0.0607,,,,,,,0.0000,0.0000
6.1,4.000,0.000,-0.0035,,,,,,,0.0000,0.0000
6.2,4.000,0.000,0.0024,,,,,,,0.0000,0.0000
