Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.1022,5.77,48.46,mid starboard,0.059,28.95,0.8388,0.8388,0.0858
2.2,3.000,0.000,0.0202,2.94,50.88,mid starboard,0.158,47.94,1.0000,1.0000,0.0202
2.3,3.000,0.000,0.0293,1.72,50.53,mid starboard,0.170,42.46,1.0000,1.0000,0.0293
3.1,3.000,0.000,0.0000,1.72,50.53,mid starboard,0.170,42.46,1.0000,1.0000,0.0000
4.1,3.000,0.000,0.2804,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.000,0.000,0.0192,60.00,47.13,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.000,0.000,0.0235,3.39,46.31,mid starboard,0.214,42.91,1.0000,1.0000,0.0235
4.4,3.000,0.000,0.0170,6.17,49.13,mid starboard,0.071,28.93,0.8765,0.8765,0.0149
4.5,3.000,0.000,0.2243,6.40,32.94,mid starboard,0.351,26.54,1.0000,1.0000,0.2243
4.6,3.000,0.000,0.1322,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1322
5.1,3.000,0.000,0.0022,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0022
6.1,3.000,0.000,0.0009,,,,,,,0.0000,0.0000
6.2,3.000,0.000,0.0007,0.00,46.31,mid starboard,0.214,46.31,1.0000,1.0000,0.0007
6.3,3.000,0.000,0.0039,60.00,45.61,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.000,0.000,-0.0049,0.00,32.93,mid starboard,0.353,32.93,1.0000,1.0000,-0.0049
2.1,3.600,0.000,0.1022,8.55,36.93,aft starboard,0.171,28.38,1.0000,1.0000,0.1022
2.2,3.600,0.000,0.0202,3.34,39.26,mid starboard,0.306,35.93,1.0000,1.0000,0.0202
2.3,3.600,0.000,0.0293,2.28,39.13,mid starboard,0.297,36.85,1.0000,1.0000,0.0293
3.1,3.600,0.000,0.0000,2.28,39.13,mid starboard,0.297,36.85,1.0000,1.0000,0.0000
4.1,3.600,0.000,0.2804,,,,,,,0.0000,0.0000
4.2,3.600,0.000,0.0192,19.53,35.92,aft starboard,0.065,16.39,0.8564,0.8564,0.0165
4.3,3.600,0.000,0.0235,3.69,34.35,mid starboard,0.340,30.66,1.0000,1.0000,0.0235
4.4,3.600,0.000,0.0170,6.92,38.07,mid starboard,0.193,31.14,1.0000,1.0000,0.0170
4.5,3.600,0.000,0.2243,4.85,20.39,mid starboard,0.326,15.54,0.9928,0.9928,0.2226
4.6,3.600,0.000,0.1322,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1322
5.1,3.600,0.000,0.0022,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.0022
6.1,3.600,0.000,0.0009,,,,,,,0.0000,0.0000
6.2,3.600,0.000,0.0007,0.00,34.35,mid starboard,0.340,34.35,1.0000,1.0000,0.0007
6.3,3.600,0.000,0.0039,60.00,35.42,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.600,0.000,-0.0049,0.00,19.88,mid starboard,0.376,19.88,1.0000,1.0000,-0.0049
2.1,4.000,0.000,0.1022,9.44,29.71,aft starboard,0.202,20.27,1.0000,1.0000,0.1022
2.2,4.000,0.000,0.0202,3.47,32.81,mid starboard,0.344,29.34,1.0000,1.0000,0.0202
2.3,4.000,0.000,0.0293,2.56,32.74,mid starboard,0.325,30.18,1.0000,1.0000,0.0293
3.1,4.000,0.000,0.0000,2.56,32.74,mid starboard,0.325,30.18,1.0000,1.0000,0.0000
4.1,4.000,0.000,0.2804,,,,,,,0.0000,0.0000
4.2,4.000,0.000,0.0192,17.33,28.95,aft starboard,0.098,11.63,0.8781,0.8781,0.0169
4.3,4.000,0.000,0.0235,3.71,27.75,mid starboard,0.343,24.05,1.0000,1.0000,0.0235
4.4,4.000,0.000,0.0170,7.07,31.84,mid starboard,0.224,24.77,1.0000,1.0000,0.0170
4.5,4.000,0.000,0.2243,4.52,12.95,mid starboard,0.197,8.43,0.8519,0.8519,0.1910
4.6,4.000,0.000,0.1322,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1322
5.1,4.000,0.000,0.0022,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.0022
6.1,4.000,0.000,0.0009,,,,,,,0.0000,0.0000
6.2,4.000,0.000,0.0007,0.00,27.71,mid starboard,0.348,27.71,1.0000,1.0000,0.0007
6.3,4.000,0.000,0.0039,60.00,28.70,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,4.000,0.000,-0.0049,0.00,12.04,mid starboard,0.265,12.04,0.9313,0.9313,-0.0046
