Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0665,1.60,49.06,mid starboard,0.180,47.46,1.0000,1.0000,0.0665
1.2,3.000,0.000,0.0002,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0002
1.3,3.000,0.000,0.0005,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0005
2.1,3.000,0.000,0.0027,1.76,48.92,mid starboard,0.177,47.16,1.0000,1.0000,0.0027
2.2,3.000,0.000,0.0006,0.00,52.32,mid starboard,0.256,52.32,1.0000,1.0000,0.0006
2.3,3.000,0.000,0.0303,1.81,50.73,mid starboard,0.185,44.86,1.0000,1.0000,0.0303
3.1,3.000,0.000,0.0502,5.96,44.09,aft starboard,0.154,38.14,1.0000,1.0000,0.0502
3.2,3.000,0.000,0.1130,60.00,46.03,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.000,0.000,0.0945,60.00,46.84,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.4,3.000,0.000,0.0004,1.81,50.72,mid starboard,0.185,44.87,1.0000,1.0000,0.0004
4.1,3.000,0.000,0.0319,60.00,40.60,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.000,0.000,0.0029,2.06,50.62,mid starboard,0.179,44.10,1.0000,1.0000,0.0029
4.3,3.000,0.000,0.0164,0.41,52.13,mid starboard,0.250,51.73,1.0000,1.0000,0.0164
5.1,3.000,0.000,0.0189,6.70,42.04,aft starboard,0.179,35.34,1.0000,1.0000,0.0189
5.2,3.000,0.000,0.0028,60.00,45.80,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.3,3.000,0.000,0.0023,60.00,46.66,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.4,3.000,0.000,0.0278,60.00,45.31,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.000,0.000,0.0042,3.91,42.00,aft starboard,0.190,38.08,1.0000,1.0000,0.0042
6.2,3.000,0.000,0.0385,60.00,41.28,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.000,0.000,0.0002,60.00,45.30,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.000,0.000,0.0670,14.06,47.63,mid starboard,0.049,25.11,0.7981,0.7981,0.0535
6.5,3.000,0.000,0.0001,2.06,50.62,mid starboard,0.179,44.12,1.0000,1.0000,0.0001
6.6,3.000,0.000,0.0601,0.53,51.62,mid starboard,0.279,51.09,1.0000,1.0000,0.0601
7.1,3.000,0.000,-0.0001,3.74,42.00,aft starboard,0.190,38.26,1.0000,1.0000,-0.0001
7.2,3.000,0.000,0.0011,60.00,39.91,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
7.3,3.000,0.000,0.0511,60.00,37.95,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
7.4,3.000,0.000,0.0001,60.00,37.44,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
7.5,3.000,0.000,0.0422,60.00,42.53,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
1.1,3.600,0.000,0.0665,3.38,36.62,aft starboard,0.273,33.24,1.0000,1.0000,0.0665
1.2,3.600,0.000,0.0002,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0002
1.3,3.600,0.000,0.0005,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0005
2.1,3.600,0.000,0.0027,3.63,36.35,aft starboard,0.268,32.71,1.0000,1.0000,0.0027
2.2,3.600,0.000,0.0006,0.00,40.35,mid starboard,0.404,40.35,1.0000,1.0000,0.0006
2.3,3.600,0.000,0.0303,2.19,39.23,mid starboard,0.314,37.03,1.0000,1.0000,0.0303
