Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
2.1,3.000,0.000,0.3830,0.0000,0.0000
2.2,3.000,0.000,0.2611,1.0000,0.2611,0.00,29.80,mid starboard,0.268,29.80,1.0000
2.3,3.000,0.000,0.0353,1.0000,0.0353,0.00,50.57,mid starboard,0.279,50.57,1.0000
2.4,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
4.1,3.000,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,3.000,0.000,0.0529,1.0000,0.0529,0.00,20.66,mid starboard,0.365,20.66,1.0000
4.3,3.000,0.000,0.0514,1.0000,0.0514,0.00,48.52,mid starboard,0.332,48.52,1.0000
6.1,3.000,0.000,0.0144,0.0000,0.0000,,,,,,
2.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.2611,1.0000,0.2611,0.00,16.90,mid starboard,0.299,16.90,1.0000
2.3,3.600,0.000,0.0353,1.0000,0.0353,0.00,38.35,mid starboard,0.446,38.35,1.0000
2.4,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
4.1,3.600,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,3.600,0.000,0.0529,0.6644,0.0351,0.00,4.42,mid starboard,0.085,4.42,0.6644
4.3,3.600,0.000,0.0514,1.0000,0.0514,0.00,35.85,mid starboard,0.519,35.85,1.0000
6.1,3.600,0.000,0.0144,0.0000,0.0000,,,,,,
2.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.2611,0.8647,0.2258,0.00,8.95,mid starboard,0.191,8.95,0.8647
2.3,4.000,0.000,0.0353,1.0000,0.0353,0.00,31.53,mid starboard,0.483,31.53,1.0000
2.4,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
4.1,4.000,0.000,0.0673,0.0000,0.0000,,,,,,
4.2,4.000,0.000,0.0529,0.0000,0.0000,,,,,,
4.3,4.000,0.000,0.0514,1.0000,0.0514,0.00,28.60,mid starboard,0.518,28.60,1.0000
6.1,4.000,0.000,0.0144,0.0000,0.0000,,,,,,
