Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.0738,2.83,49.58,mid starboard,0.111,42.37,0.9810,0.9810,0.0724
2.2,3.000,0.000,0.0002,0.10,52.28,mid starboard,0.254,52.19,1.0000,1.0000,0.0002
2.3,3.000,0.000,0.0484,3.25,49.99,mid starboard,0.121,37.51,1.0000,1.0000,0.0484
3.1,3.000,0.000,0.0003,3.25,49.96,mid starboard,0.121,37.47,1.0000,1.0000,0.0003
3.2,3.000,0.000,0.0006,0.00,52.24,mid starboard,0.261,52.24,1.0000,1.0000,0.0006
4.1,3.000,0.000,0.0484,10.19,47.60,mid starboard,0.020,16.76,0.6374,0.6374,0.0309
4.2,3.000,0.000,0.0016,3.02,49.52,mid starboard,0.107,41.20,0.9710,0.9710,0.0016
4.3,3.000,0.000,0.0000,0.17,52.26,mid starboard,0.253,52.09,1.0000,1.0000,0.0000
4.4,3.000,0.000,0.0016,3.43,49.94,mid starboard,0.117,36.94,0.9936,0.9936,0.0016
4.5,3.000,0.000,0.0280,8.80,48.71,mid starboard,0.041,22.17,0.7654,0.7654,0.0215
4.6,3.000,0.000,0.0000,0.00,52.24,mid starboard,0.261,52.24,1.0000,1.0000,0.0000
4.7,3.000,0.000,0.1309,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1309
5.1,3.000,0.000,0.0465,0.00,49.87,mid starboard,0.279,49.87,1.0000,1.0000,0.0465
5.2,3.000,0.000,0.0036,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0036
6.1,3.000,0.000,0.2627,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.0174,60.00,47.36,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.000,0.000,0.0000,0.17,52.03,mid starboard,0.257,51.87,1.0000,1.0000,0.0000
6.4,3.000,0.000,0.1552,12.29,32.49,mid starboard,0.220,20.20,1.0000,1.0000,0.1552
7.1,3.000,0.000,0.0017,8.80,48.61,mid starboard,0.041,22.09,0.7654,0.7654,0.0013
7.2,3.000,0.000,-0.0001,0.00,49.87,mid starboard,0.279,49.87,1.0000,1.0000,-0.0001
7.3,3.000,0.000,0.0096,0.00,51.43,mid starboard,0.291,51.43,1.0000,1.0000,0.0096
2.1,3.600,0.000,0.0738,4.65,38.29,mid starboard,0.233,33.63,1.0000,1.0000,0.0738
2.2,3.600,0.000,0.0002,0.12,40.32,mid starboard,0.402,40.20,1.0000,1.0000,0.0002
2.3,3.600,0.000,0.0484,4.14,38.69,mid starboard,0.249,34.55,1.0000,1.0000,0.0484
3.1,3.600,0.000,0.0003,4.14,38.69,mid starboard,0.249,34.54,1.0000,1.0000,0.0003
3.2,3.600,0.000,0.0006,0.00,40.23,mid starboard,0.410,40.23,1.0000,1.0000,0.0006
4.1,3.600,0.000,0.0484,12.75,35.69,aft starboard,0.125,22.94,1.0000,1.0000,0.0484
4.2,3.600,0.000,0.0016,4.89,38.24,mid starboard,0.229,33.35,1.0000,1.0000,0.0016
4.3,3.600,0.000,0.0000,0.19,40.30,mid starboard,0.400,40.11,1.0000,1.0000,0.0000
4.4,3.600,0.000,0.0016,4.35,38.65,mid starboard,0.245,34.30,1.0000,1.0000,0.0016
4.5,3.600,0.000,0.0280,8.92,37.72,mid starboard,0.160,28.80,1.0000,1.0000,0.0280
4.6,3.600,0.000,0.0000,0.00,40.23,mid starboard,0.410,40.23,1.0000,1.0000,0.0000
4.7,3.600,0.000,0.1309,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1309
5.1,3.600,0.000,0.0465,0.00,37.62,mid starboard,0.449,37.62,1.0000,1.0000,0.0465
5.2,3.600,0.000,0.0036,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.0036
6.1,3.600,0.000,0.2627,,,,,,,0.0000,0.0000
6.2,3.600,0.000,0.0174,16.20,36.70,mid starboard,0.062,20.51,0.8467,0.8467,0.0147
6.3,3.600,0.000,0.0000,0.19,40.05,mid starboard,0.403,39.85,1.0000,1.0000,0.0000
6.4,3.600,0.000,0.1552,10.28,20.72,mid starboard,0.206,10.44,0.8987,0.8987,0.1395
7.1,3.600,0.000,0.0017,8.92,37.68,mid starboard,0.159,28.77,1.0000,1.0000,0.0017
7.2,3.600,0.000,-0.0001,0.00,37.62,mid starboard,0.449,37.62,1.0000,1.0000,-0.0001
7.3,3.600,0.000,0.0096,0.00,39.03,mid starboard,0.479,39.03,1.0000,1.0000,0.0096
2.1,4.000,0.000,0.0738,5.59,30.98,aft starboard,0.269,25.39,1.0000,1.0000,0.0738
2.2,4.000,0.000,0.0002,0.13,33.69,mid starboard,0.437,33.56,1.0000,1.0000,0.0002
2.3,4.000,0.000,0.0484,4.48,32.37,mid starboard,0.280,27.89,1.0000,1.0000,0.0484
3.1,4.000,0.000,0.0003,4.48,32.37,mid starboard,0.280,27.89,1.0000,1.0000,0.0003
3.2,4.000,0.000,0.0006,0.00,33.57,mid starboard,0.447,33.57,1.0000,1.0000,0.0006
4.1,4.000,0.000,0.0484,13.00,28.75,aft starboard,0.151,15.75,0.9960,0.9960,0.0482
4.2,4.000,0.000,0.0016,5.84,30.94,aft starboard,0.265,25.10,1.0000,1.0000,0.0016
4.3,4.000,0.000,0.0000,0.20,33.67,mid starboard,0.435,33.47,1.0000,1.0000,0.0000
4.4,4.000,0.000,0.0016,4.68,32.33,mid starboard,0.276,27.65,1.0000,1.0000,0.0016
4.5,4.000,0.000,0.0280,8.80,31.52,mid starboard,0.193,22.72,1.0000,1.0000,0.0280
4.6,4.000,0.000,0.0000,0.00,33.57,mid starboard,0.447,33.57,1.0000,1.0000,0.0000
4.7,4.000,0.000,0.1309,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1309
5.1,4.000,0.000,0.0465,0.00,30.78,mid starboard,0.481,30.78,1.0000,1.0000,0.0465
5.2,4.000,0.000,0.0036,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.0036
6.1,4.000,0.000,0.2627,,,,,,,0.0000,0.0000
6.2,4.000,0.000,0.0174,15.20,30.13,aft starboard,0.099,14.93,0.9368,0.9368,0.0163
6.3,4.000,0.000,0.0000,0.20,33.41,mid starboard,0.437,33.21,1.0000,1.0000,0.0000
6.4,4.000,0.000,0.1552,9.41,13.73,mid starboard,0.089,4.33,0.6691,0.6691,0.1039
7.1,4.000,0.000,0.0017,8.80,31.50,mid starboard,0.191,22.70,1.0000,1.0000,0.0017
7.2,4.000,0.000,-0.0001,0.00,30.78,mid starboard,0.481,30.78,1.0000,1.0000,-0.0001
