Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0002,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0002
1.2,3.000,0.000,0.0005,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0005
2.1,3.000,0.000,0.0082,0.04,52.04,mid starboard,0.237,52.00,1.0000,1.0000,0.0082
2.2,3.000,0.000,0.0006,0.00,52.32,mid starboard,0.256,52.32,1.0000,1.0000,0.0006
2.3,3.000,0.000,0.0014,0.01,52.17,mid starboard,0.252,52.17,1.0000,1.0000,0.0014
2.4,3.000,0.000,0.1341,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1341
3.1,3.000,0.000,0.3596,,,,,,,0.0000,0.0000
3.2,3.000,0.000,0.0035,0.08,52.13,mid starboard,0.241,52.05,1.0000,1.0000,0.0035
4.1,3.000,0.000,-0.0044,,,,,,,0.0000,0.0000
4.2,3.000,0.000,0.2628,0.41,30.78,mid starboard,0.358,30.37,1.0000,1.0000,0.2628
5.1,3.000,0.000,0.0316,,,,,,,0.0000,0.0000
5.2,3.000,0.000,0.0038,0.12,51.83,mid starboard,0.220,51.70,1.0000,1.0000,0.0038
5.3,3.000,0.000,0.0266,0.21,47.49,mid starboard,0.223,47.28,1.0000,1.0000,0.0266
5.4,3.000,0.000,0.0028,0.09,51.96,mid starboard,0.235,51.87,1.0000,1.0000,0.0028
6.1,3.000,0.000,0.0079,0.00,30.78,mid starboard,0.358,30.78,1.0000,1.0000,0.0079
6.2,3.000,0.000,0.0691,,,,,,,0.0000,0.0000
7.1,3.000,0.000,0.0012,0.13,51.66,mid starboard,0.214,51.53,1.0000,1.0000,0.0012
7.2,3.000,0.000,0.0000,0.00,47.49,mid starboard,0.223,47.49,1.0000,1.0000,0.0000
1.1,3.600,0.000,0.0002,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0002
1.2,3.600,0.000,0.0005,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0005
2.1,3.600,0.000,0.0082,0.20,40.13,mid starboard,0.383,39.94,1.0000,1.0000,0.0082
2.2,3.600,0.000,0.0006,0.00,40.35,mid starboard,0.404,40.35,1.0000,1.0000,0.0006
2.3,3.600,0.000,0.0014,0.05,40.27,mid starboard,0.397,40.22,1.0000,1.0000,0.0014
2.4,3.600,0.000,0.1341,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1341
3.1,3.600,0.000,0.3596,,,,,,,0.0000,0.0000
3.2,3.600,0.000,0.0035,0.24,40.21,mid starboard,0.389,39.97,1.0000,1.0000,0.0035
4.1,3.600,0.000,-0.0044,,,,,,,0.0000,0.0000
4.2,3.600,0.000,0.2628,0.32,17.64,mid starboard,0.344,17.33,1.0000,1.0000,0.2628
5.1,3.600,0.000,0.0316,,,,,,,0.0000,0.0000
5.2,3.600,0.000,0.0038,0.46,39.98,mid starboard,0.366,39.52,1.0000,1.0000,0.0038
5.3,3.600,0.000,0.0266,0.40,35.49,mid starboard,0.355,35.09,1.0000,1.0000,0.0266
5.4,3.600,0.000,0.0028,0.29,40.11,mid starboard,0.380,39.81,1.0000,1.0000,0.0028
6.1,3.600,0.000,0.0079,0.00,17.63,mid starboard,0.346,17.63,1.0000,1.0000,0.0079
6.2,3.600,0.000,0.0691,,,,,,,0.0000,0.0000
7.1,3.600,0.000,0.0012,0.51,39.87,mid starboard,0.357,39.36,1.0000,1.0000,0.0012
7.2,3.600,0.000,0.0000,0.01,35.49,mid starboard,0.355,35.48,1.0000,1.0000,0.0000
1.1,4.000,0.000,0.0002,0.00,33.72,mid starboard,0.440,33.72,1.0000,1.0000,0.0002
1.2,4.000,0.000,0.0005,0.01,33.72,mid starboard,0.440,33.71,1.0000,1.0000,0.0005
2.1,4.000,0.000,0.0082,0.33,33.54,mid starboard,0.419,33.20,1.0000,1.0000,0.0082
2.2,4.000,0.000,0.0006,0.01,33.71,mid starboard,0.439,33.70,1.0000,1.0000,0.0006
2.3,4.000,0.000,0.0014,0.08,33.65,mid starboard,0.430,33.57,1.0000,1.0000,0.0014
2.4,4.000,0.000,0.1341,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1341
3.1,4.000,0.000,0.3596,,,,,,,0.0000,0.0000
3.2,4.000,0.000,0.0035,0.33,33.60,mid starboard,0.425,33.26,1.0000,1.0000,0.0035
4.1,4.000,0.000,-0.0044,,,,,,,0.0000,0.0000
4.2,4.000,0.000,0.2628,0.32,9.60,mid starboard,0.203,9.28,0.8727,0.8727,0.2293
5.1,4.000,0.000,0.0316,,,,,,,0.0000,0.0000
5.2,4.000,0.000,0.0038,0.69,33.40,mid starboard,0.403,32.71,1.0000,1.0000,0.0038
5.3,4.000,0.000,0.0266,0.48,28.87,mid starboard,0.368,28.38,1.0000,1.0000,0.0266
5.4,4.000,0.000,0.0028,0.42,33.52,mid starboard,0.414,33.10,1.0000,1.0000,0.0028
6.1,4.000,0.000,0.0079,0.00,9.55,mid starboard,0.207,9.55,0.8789,0.8789,0.0069
6.2,4.000,0.000,0.0691,,,,,,,0.0000,0.0000
7.1,4.000,0.000,0.0012,0.80,33.33,mid starboard,0.393,32.53,1.0000,1.0000,0.0012
7.2,4.000,0.000,0.0000,0.03,28.87,mid starboard,0.368,28.84,1.0000,1.0000,0.0000
