Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0150,13.47,49.88,mid starboard,0.137,36.41,1.0000,1.0000,0.0150
1.2,3.000,0.000,0.0099,13.07,50.74,mid starboard,0.124,37.66,1.0000,1.0000,0.0099
1.3,3.000,0.000,0.0000,0.00,51.88,mid starboard,0.277,51.88,1.0000,1.0000,0.0000
2.1,3.000,0.000,0.1309,60.00,39.45,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.000,0.000,0.0030,30.23,48.35,mid starboard,0.016,18.12,0.0000,0.0000,0.0000
2.3,3.000,0.000,0.0868,60.00,44.60,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.4,3.000,0.000,0.0002,0.00,51.75,mid starboard,0.274,51.75,1.0000,1.0000,0.0002
2.5,3.000,0.000,0.0138,0.07,51.81,mid starboard,0.283,51.75,1.0000,1.0000,0.0138
3.1,3.000,0.000,0.0133,6.47,24.45,aft starboard,0.445,17.97,1.0000,1.0000,0.0133
3.2,3.000,0.000,0.0126,6.05,39.77,mid starboard,0.643,33.72,1.0000,1.0000,0.0126
3.3,3.000,0.000,0.0000,60.00,43.95,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.4,3.000,0.000,0.1205,0.07,51.68,mid starboard,0.279,51.62,1.0000,1.0000,0.1205
4.1,3.000,0.000,0.0111,6.61,23.63,aft starboard,0.454,17.03,1.0000,1.0000,0.0111
4.2,3.000,0.000,0.1160,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.000,0.000,0.0265,60.00,36.02,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.4,3.000,0.000,0.0133,6.46,38.11,mid starboard,0.792,31.65,1.0000,1.0000,0.0133
4.5,3.000,0.000,0.1101,24.52,26.24,mid starboard,0.017,1.72,0.3495,0.3495,0.0385
4.6,3.000,0.000,0.0006,5.61,38.13,mid starboard,0.863,32.52,1.0000,1.0000,0.0006
5.1,3.000,0.000,0.0968,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.000,0.000,0.1166,21.09,24.44,mid starboard,0.050,3.34,0.5434,0.5434,0.0633
6.1,3.000,0.000,0.0021,7.44,20.27,mid starboard,0.654,12.83,0.9464,0.9464,0.0020
