Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0000,0.00,52.34,mid starboard,0.259,52.34,1.0000,1.0000,0.0000
1.2,3.000,0.000,0.0001,0.00,52.34,mid starboard,0.259,52.34,1.0000,1.0000,0.0001
1.3,3.000,0.000,0.0000,0.02,52.33,mid starboard,0.257,52.30,1.0000,1.0000,0.0000
2.1,3.000,0.000,0.0050,0.65,51.66,mid starboard,0.233,51.01,1.0000,1.0000,0.0050
2.2,3.000,0.000,0.0002,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0002
2.3,3.000,0.000,0.0001,0.00,52.34,mid starboard,0.258,52.34,1.0000,1.0000,0.0001
2.4,3.000,0.000,0.0004,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0004
2.5,3.000,0.000,0.0032,1.91,51.93,mid starboard,0.214,50.02,1.0000,1.0000,0.0032
2.6,3.000,0.000,0.0002,0.02,52.29,mid starboard,0.257,52.26,1.0000,1.0000,0.0002
2.7,3.000,0.000,0.0002,0.04,52.32,mid starboard,0.257,52.28,1.0000,1.0000,0.0002
3.1,3.000,0.000,0.0437,0.65,48.63,mid starboard,0.188,47.98,1.0000,1.0000,0.0437
3.2,3.000,0.000,0.0077,9.84,50.53,mid starboard,0.158,40.68,1.0000,1.0000,0.0077
3.3,3.000,0.000,0.0044,7.78,51.14,mid starboard,0.163,43.37,1.0000,1.0000,0.0044
3.4,3.000,0.000,0.0275,1.90,48.70,mid starboard,0.156,34.52,1.0000,1.0000,0.0275
3.5,3.000,0.000,0.0012,0.04,52.28,mid starboard,0.256,52.24,1.0000,1.0000,0.0012
4.1,3.000,0.000,0.0075,6.85,49.29,mid starboard,0.214,42.44,1.0000,1.0000,0.0075
4.2,3.000,0.000,0.0005,0.00,52.32,mid starboard,0.256,52.32,1.0000,1.0000,0.0005
4.3,3.000,0.000,0.0000,1.90,48.56,mid starboard,0.156,34.25,1.0000,1.0000,0.0000
4.4,3.000,0.000,0.0006,0.04,52.28,mid starboard,0.256,52.24,1.0000,1.0000,0.0006
5.1,3.000,0.000,0.0657,6.75,44.19,aft starboard,0.120,37.23,0.9996,0.9996,0.0657
5.2,3.000,0.000,0.0023,13.48,49.88,mid starboard,0.137,36.41,1.0000,1.0000,0.0023
5.3,3.000,0.000,0.0671,9.84,46.98,mid starboard,0.035,19.85,0.7362,0.7362,0.0494
5.4,3.000,0.000,0.0385,7.64,48.59,mid starboard,0.067,28.11,0.8656,0.8656,0.0333
5.5,3.000,0.000,0.0023,13.07,50.74,mid starboard,0.124,37.66,1.0000,1.0000,0.0023
5.6,3.000,0.000,0.0080,18.27,49.74,mid starboard,0.144,31.47,1.0000,1.0000,0.0080
5.7,3.000,0.000,0.0136,0.91,51.94,mid starboard,0.257,51.03,1.0000,1.0000,0.0136
6.1,3.000,0.000,0.0041,9.30,48.33,mid starboard,0.252,39.03,1.0000,1.0000,0.0041
6.2,3.000,0.000,0.0049,21.52,46.85,mid starboard,0.116,25.33,0.9924,0.9924,0.0048
6.3,3.000,0.000,0.0027,21.04,49.37,mid starboard,0.074,28.33,0.8858,0.8858,0.0024
6.4,3.000,0.000,0.0025,18.89,48.92,mid starboard,0.120,30.03,1.0000,1.0000,0.0025
6.5,3.000,0.000,0.0022,18.47,49.66,mid starboard,0.150,31.19,1.0000,1.0000,0.0022
6.6,3.000,0.000,0.0703,60.00,46.33,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.7,3.000,0.000,0.0006,18.47,49.72,mid starboard,0.144,31.25,1.0000,1.0000,0.0006
7.1,3.000,0.000,0.0010,21.53,46.78,mid starboard,0.118,25.25,0.9966,0.9966,0.0010
7.2,3.000,0.000,0.0005,19.02,48.81,mid starboard,0.127,29.79,1.0000,1.0000,0.0005
7.3,3.000,0.000,0.0196,60.00,46.25,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.4,3.000,0.000,0.0665,0.91,51.84,mid starboard,0.256,50.93,1.0000,1.0000,0.0665
