Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0002,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0002
1.2,3.000,0.000,0.0005,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0005
2.1,3.000,0.000,0.0829,2.58,48.52,mid starboard,0.141,44.70,1.0000,1.0000,0.0829
2.2,3.000,0.000,0.0006,0.00,52.32,mid starboard,0.256,52.32,1.0000,1.0000,0.0006
4.1,3.000,0.000,0.0708,13.05,48.12,mid starboard,0.031,22.79,0.7149,0.7149,0.0507
5.1,3.000,0.000,0.1195,9.69,29.39,aft starboard,0.134,19.70,1.0000,1.0000,0.1195
5.2,3.000,0.000,0.1274,60.00,46.44,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.3,3.000,0.000,0.1250,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1250
6.1,3.000,0.000,0.0294,60.00,43.58,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.0002,60.00,46.43,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.000,0.000,0.0090,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0090
7.1,3.000,0.000,-0.0006,0.00,29.38,aft starboard,0.138,29.38,1.0000,1.0000,-0.0006
7.2,3.000,0.000,0.0506,10.65,37.74,aft starboard,0.192,27.09,1.0000,1.0000,0.0506
1.1,3.600,0.000,0.0002,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0002
1.2,3.600,0.000,0.0005,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0005
2.1,3.600,0.000,0.0829,4.89,36.05,aft starboard,0.230,31.16,1.0000,1.0000,0.0829
2.2,3.600,0.000,0.0006,0.00,40.35,mid starboard,0.404,40.35,1.0000,1.0000,0.0006
4.1,3.600,0.000,0.0708,11.94,37.06,aft starboard,0.170,25.13,1.0000,1.0000,0.0708
5.1,3.600,0.000,0.1195,15.28,13.45,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.600,0.000,0.1274,22.49,35.99,mid starboard,0.015,9.38,0.5241,0.5241,0.0668
5.3,3.600,0.000,0.1250,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1250
6.1,3.600,0.000,0.0294,60.00,31.55,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.600,0.000,0.0002,22.50,35.99,mid starboard,0.015,9.38,0.5241,0.5241,0.0001
6.3,3.600,0.000,0.0090,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.0090
7.1,3.600,0.000,-0.0006,0.00,7.27,aft starboard,0.054,7.27,0.6720,0.6720,-0.0004
7.2,3.600,0.000,0.0506,11.51,24.20,aft starboard,0.163,12.69,0.9438,0.9438,0.0478
1.1,4.000,0.000,0.0002,0.00,33.72,mid starboard,0.440,33.72,1.0000,1.0000,0.0002
1.2,4.000,0.000,0.0005,0.01,33.72,mid starboard,0.440,33.71,1.0000,1.0000,0.0005
2.1,4.000,0.000,0.0829,5.98,29.01,aft starboard,0.248,23.03,1.0000,1.0000,0.0829
2.2,4.000,0.000,0.0006,0.01,33.71,mid starboard,0.439,33.70,1.0000,1.0000,0.0006
4.1,4.000,0.000,0.0708,11.47,29.83,aft starboard,0.197,18.36,1.0000,1.0000,0.0708
5.1,4.000,0.000,0.1195,60.00,3.55,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,4.000,0.000,0.1274,18.22,29.99,mid starboard,0.047,11.78,0.7336,0.7336,0.0934
5.3,4.000,0.000,0.1250,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1250
6.1,4.000,0.000,0.0294,31.62,25.41,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,4.000,0.000,0.0002,18.22,29.99,mid starboard,0.047,11.78,0.7336,0.7336,0.0002
6.3,4.000,0.000,0.0090,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.0090
7.1,4.000,0.000,-0.0006,0.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
7.2,4.000,0.000,0.0506,11.59,17.35,aft starboard,0.059,5.77,0.6485,0.6485,0.0328
