Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.1002,5.42,48.56,mid starboard,0.064,30.07,0.8548,0.8548,0.0856
3.1,3.000,0.000,0.0135,2.15,51.27,mid starboard,0.181,49.11,1.0000,1.0000,0.0135
3.2,3.000,0.000,0.0349,2.30,50.34,mid starboard,0.151,40.73,1.0000,1.0000,0.0349
4.1,3.000,0.000,0.1860,60.00,32.91,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.000,0.000,0.0004,0.00,52.31,mid starboard,0.258,52.31,1.0000,1.0000,0.0004
5.1,3.000,0.000,0.0168,60.00,47.58,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.000,0.000,0.0019,2.30,50.22,mid starboard,0.151,40.06,1.0000,1.0000,0.0019
5.3,3.000,0.000,0.0338,2.24,50.89,mid starboard,0.191,48.65,1.0000,1.0000,0.0338
6.1,3.000,0.000,0.1104,60.00,10.16,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.0113,8.79,49.29,mid starboard,0.109,40.50,0.9763,0.9763,0.0110
6.3,3.000,0.000,0.0154,5.87,49.31,mid starboard,0.075,29.98,0.8895,0.8895,0.0137
6.4,3.000,0.000,0.0677,60.00,46.01,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.5,3.000,0.000,0.0000,2.30,50.22,mid starboard,0.151,40.06,1.0000,1.0000,0.0000
7.1,3.000,0.000,0.1040,0.01,51.61,mid starboard,0.287,51.60,1.0000,1.0000,0.1040
2.1,3.600,0.000,0.1002,8.13,37.07,aft starboard,0.177,28.94,1.0000,1.0000,0.1002
3.1,3.600,0.000,0.0135,2.48,39.54,mid starboard,0.331,37.07,1.0000,1.0000,0.0135
3.2,3.600,0.000,0.0349,2.97,38.95,mid starboard,0.278,35.98,1.0000,1.0000,0.0349
4.1,3.600,0.000,0.1860,60.00,23.71,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.600,0.000,0.0004,0.01,40.34,mid starboard,0.405,40.33,1.0000,1.0000,0.0004
5.1,3.600,0.000,0.0168,15.68,36.27,aft starboard,0.099,20.59,0.9527,0.9527,0.0160
5.2,3.600,0.000,0.0019,2.97,38.90,mid starboard,0.277,35.94,1.0000,1.0000,0.0019
5.3,3.600,0.000,0.0338,2.54,39.24,mid starboard,0.330,36.70,1.0000,1.0000,0.0338
6.1,3.600,0.000,0.1104,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.600,0.000,0.0113,8.10,37.93,mid starboard,0.258,29.83,1.0000,1.0000,0.0113
6.3,3.600,0.000,0.0154,6.66,38.16,mid starboard,0.199,31.50,1.0000,1.0000,0.0154
6.4,3.600,0.000,0.0677,21.17,35.42,mid starboard,0.042,14.25,0.7478,0.7478,0.0506
6.5,3.600,0.000,0.0000,2.97,38.91,mid starboard,0.277,35.94,1.0000,1.0000,0.0000
7.1,3.600,0.000,0.1040,0.04,39.25,mid starboard,0.469,39.22,1.0000,1.0000,0.1040
2.1,4.000,0.000,0.1002,9.06,29.83,aft starboard,0.209,20.77,1.0000,1.0000,0.1002
3.1,4.000,0.000,0.0135,2.60,33.04,mid starboard,0.370,30.44,1.0000,1.0000,0.0135
3.2,4.000,0.000,0.0349,3.27,32.58,mid starboard,0.307,29.32,1.0000,1.0000,0.0349
4.1,4.000,0.000,0.1860,60.00,18.22,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,4.000,0.000,0.0004,0.02,33.70,mid starboard,0.439,33.68,1.0000,1.0000,0.0004
5.1,4.000,0.000,0.0168,14.93,29.22,aft starboard,0.131,14.29,0.9722,0.9722,0.0163
5.2,4.000,0.000,0.0019,3.27,32.55,mid starboard,0.304,29.29,1.0000,1.0000,0.0019
5.3,4.000,0.000,0.0338,2.69,32.72,mid starboard,0.363,30.02,1.0000,1.0000,0.0338
6.1,4.000,0.000,0.1104,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
6.2,4.000,0.000,0.0113,7.71,31.63,mid starboard,0.288,23.93,1.0000,1.0000,0.0113
6.3,4.000,0.000,0.0154,6.83,31.91,mid starboard,0.232,25.08,1.0000,1.0000,0.0154
6.4,4.000,0.000,0.0677,17.87,29.37,mid starboard,0.069,11.51,0.8015,0.8015,0.0542
6.5,4.000,0.000,0.0000,3.27,32.55,mid starboard,0.304,29.29,1.0000,1.0000,0.0000
7.1,4.000,0.000,0.1040,0.05,32.39,mid starboard,0.505,32.34,1.0000,1.0000,0.1040
