Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
3.1,3.000,0.000,0.3830,0.0000,0.0000
3.2,3.000,0.000,0.0135,1.0000,0.0135,0.00,49.36,mid starboard,0.237,49.36,1.0000
3.3,3.000,0.000,0.2969,1.0000,0.2969,0.00,27.20,mid starboard,0.361,27.20,1.0000
3.4,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
6.1,3.000,0.000,0.0389,0.0000,0.0000,,,,,,
6.2,3.000,0.000,0.0389,1.0000,0.0389,0.00,20.66,mid starboard,0.365,20.66,1.0000
6.3,3.000,0.000,0.0658,0.0000,0.0000,,,,,,
3.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
3.2,3.600,0.000,0.0135,1.0000,0.0135,0.00,37.29,mid starboard,0.377,37.29,1.0000
3.3,3.600,0.000,0.2969,0.9641,0.2863,0.00,13.82,mid starboard,0.285,13.82,0.9641
3.4,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
6.1,3.600,0.000,0.0389,0.0000,0.0000,,,,,,
6.2,3.600,0.000,0.0389,0.6644,0.0258,0.00,4.42,mid starboard,0.085,4.42,0.6644
6.3,3.600,0.000,0.0658,0.0000,0.0000,,,,,,
3.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
3.2,4.000,0.000,0.0135,1.0000,0.0135,0.00,30.66,aft starboard,0.400,30.66,1.0000
3.3,4.000,0.000,0.2969,0.1866,0.0554,0.00,0.42,mid starboard,0.006,0.42,0.1866
3.4,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
6.1,4.000,0.000,0.0389,0.0000,0.0000,,,,,,
6.2,4.000,0.000,0.0389,0.0000,0.0000,,,,,,
6.3,4.000,0.000,0.0658,0.0000,0.0000,,,,,,
