Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0482,1.32,50.56,mid starboard,0.157,49.24,1.0000,1.0000,0.0482
1.2,3.000,0.000,0.0356,1.76,50.61,mid starboard,0.158,43.59,1.0000,1.0000,0.0356
2.1,3.000,0.000,0.0150,4.23,48.92,mid starboard,0.065,27.96,0.8568,0.8568,0.0129
2.2,3.000,0.000,0.0472,0.90,51.84,mid starboard,0.256,50.94,1.0000,1.0000,0.0472
3.1,3.000,0.000,0.3234,60.00,21.81,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.000,0.000,0.2901,60.00,34.45,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.1,3.000,0.000,0.0872,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0872
5.1,3.000,0.000,0.0046,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.000,0.000,0.0215,6.16,21.04,mid starboard,0.318,14.88,0.9821,0.9821,0.0211
5.3,3.000,0.000,0.0397,60.00,31.82,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.000,0.000,0.0106,,,,,,,0.0000,0.0000
6.2,3.000,0.000,0.0522,60.00,18.56,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.000,0.000,0.0041,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,0.0041
1.1,3.600,0.000,0.0482,2.40,39.02,mid starboard,0.289,36.62,1.0000,1.0000,0.0482
1.2,3.600,0.000,0.0356,2.53,39.16,mid starboard,0.292,36.63,1.0000,1.0000,0.0356
2.1,3.600,0.000,0.0150,6.76,37.87,mid starboard,0.170,31.12,1.0000,1.0000,0.0150
2.2,3.600,0.000,0.0472,0.97,39.72,mid starboard,0.417,38.75,1.0000,1.0000,0.0472
3.1,3.600,0.000,0.3234,60.00,12.73,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.600,0.000,0.2901,60.00,24.93,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.1,3.600,0.000,0.0872,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.0872
5.1,3.600,0.000,0.0046,,,,,,,0.0000,0.0000
5.2,3.600,0.000,0.0215,5.69,7.55,mid starboard,0.039,1.86,0.4411,0.4411,0.0095
5.3,3.600,0.000,0.0397,60.00,22.20,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.600,0.000,0.0106,,,,,,,0.0000,0.0000
6.2,3.600,0.000,0.0522,60.00,9.31,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.600,0.000,0.0041,0.00,4.41,mid starboard,0.085,4.41,0.6640,0.6640,0.0027
1.1,4.000,0.000,0.0482,3.06,32.08,aft starboard,0.327,29.02,1.0000,1.0000,0.0482
1.2,4.000,0.000,0.0356,2.88,32.76,mid starboard,0.323,29.88,1.0000,1.0000,0.0356
2.1,4.000,0.000,0.0150,7.68,31.42,aft starboard,0.207,23.73,1.0000,1.0000,0.0150
2.2,4.000,0.000,0.0472,1.00,33.01,mid starboard,0.459,32.01,1.0000,1.0000,0.0472
3.1,4.000,0.000,0.3234,60.00,6.20,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,4.000,0.000,0.2901,60.00,19.11,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.1,4.000,0.000,0.0872,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.0872
5.1,4.000,0.000,0.0046,,,,,,,0.0000,0.0000
5.2,4.000,0.000,0.0215,,,,,,,0.0000,0.0000
5.3,4.000,0.000,0.0397,60.00,16.21,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,4.000,0.000,0.0106,,,,,,,0.0000,0.0000
6.2,4.000,0.000,0.0522,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
6.3,4.000,0.000,0.0041,,,,,,,0.0000,0.0000
