Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
4.1,3.000,0.000,0.2634,0.00,7.84,aft starboard,0.021,7.84,0.5414,0.5414,0.1426
4.2,3.000,0.000,0.0600,0.00,44.89,mid starboard,0.230,44.89,1.0000,1.0000,0.0600
4.3,3.000,0.000,0.3493,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,0.3493
4.4,3.000,0.000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1345
4.1,3.600,0.000,0.2634,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.600,0.000,0.0600,0.00,31.06,aft starboard,0.316,31.06,1.0000,1.0000,0.0600
4.3,3.600,0.000,0.3493,0.00,4.42,mid starboard,0.085,4.42,0.6643,0.6643,0.2321
4.4,3.600,0.000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1345
4.1,4.000,0.000,0.2634,,,,,,,0.0000,0.0000
4.2,4.000,0.000,0.0600,0.00,23.65,aft starboard,0.289,23.65,1.0000,1.0000,0.0600
4.3,4.000,0.000,0.3493,,,,,,,0.0000,0.0000
4.4,4.000,0.000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1345
