Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.2694,60.00,34.66,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.1,3.000,0.000,0.1273,60.00,8.17,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.000,0.000,0.1324,60.00,44.58,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.000,0.000,0.0453,3.22,50.34,mid starboard,0.162,43.24,1.0000,1.0000,0.0453
2.4,3.000,0.000,0.0001,0.00,52.33,mid starboard,0.259,52.33,1.0000,1.0000,0.0001
3.1,3.000,0.000,-0.0161,,,,,,,0.0000,0.0000
3.2,3.000,0.000,0.0489,60.00,31.29,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.1,3.000,0.000,0.0473,25.86,37.27,mid starboard,0.076,11.42,0.7453,0.7453,0.0353
4.2,3.000,0.000,0.0355,60.00,42.59,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.000,0.000,0.0662,5.41,46.21,mid starboard,0.266,40.80,1.0000,1.0000,0.0662
4.4,3.000,0.000,0.0045,3.22,50.30,mid starboard,0.162,43.00,1.0000,1.0000,0.0045
4.5,3.000,0.000,0.1094,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1094
5.1,3.000,0.000,0.0002,60.00,31.88,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.1,3.000,0.000,0.0218,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,-0.0065,0.00,36.80,mid starboard,0.186,36.80,1.0000,1.0000,-0.0065
6.3,3.000,0.000,-0.0014,0.00,46.19,mid starboard,0.291,46.19,1.0000,1.0000,-0.0014
6.4,3.000,0.000,0.0009,60.00,42.53,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.5,3.000,0.000,0.0251,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0251
1.1,3.600,0.000,0.2694,60.00,25.12,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.1,3.600,0.000,0.1273,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.600,0.000,0.1324,60.00,34.33,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.600,0.000,0.0453,3.58,38.84,mid starboard,0.296,35.26,1.0000,1.0000,0.0453
2.4,3.600,0.000,0.0001,0.00,40.36,mid starboard,0.406,40.36,1.0000,1.0000,0.0001
3.1,3.600,0.000,-0.0161,,,,,,,0.0000,0.0000
3.2,3.600,0.000,0.0489,60.00,22.66,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.1,3.600,0.000,0.0473,21.25,26.72,mid starboard,0.071,5.48,0.6704,0.6704,0.0317
4.2,3.600,0.000,0.0355,60.00,32.74,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.600,0.000,0.0662,4.99,34.08,mid starboard,0.427,29.08,1.0000,1.0000,0.0662
4.4,3.600,0.000,0.0045,3.59,38.83,mid starboard,0.295,35.24,1.0000,1.0000,0.0045
