Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
1.1,3.000,0.000,0.3830,0.0000,0.0000
3.1,3.000,0.000,0.3088,1.0000,0.3088,0.00,25.17,mid starboard,0.343,25.17,1.0000
3.2,3.000,0.000,0.0083,1.0000,0.0083,0.00,51.80,mid starboard,0.268,51.80,1.0000
3.3,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
4.1,3.000,0.000,0.0673,0.0000,0.0000,,,,,,
6.1,3.000,0.000,0.0322,1.0000,0.0322,0.00,20.66,mid starboard,0.365,20.66,1.0000
6.2,3.000,0.000,0.0312,1.0000,0.0312,0.00,50.68,mid starboard,0.304,50.68,1.0000
1.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
3.1,3.600,0.000,0.3088,0.9279,0.2866,0.00,11.86,mid starboard,0.263,11.86,0.9279
3.2,3.600,0.000,0.0083,1.0000,0.0083,0.00,39.69,mid starboard,0.423,39.69,1.0000
3.3,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
4.1,3.600,0.000,0.0673,0.0000,0.0000,,,,,,
6.1,3.600,0.000,0.0322,0.6625,0.0213,0.00,4.39,mid starboard,0.084,4.39,0.6625
6.2,3.600,0.000,0.0312,1.0000,0.0312,0.00,38.18,mid starboard,0.504,38.18,1.0000
1.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
3.1,4.000,0.000,0.3088,0.6311,0.1949,0.00,3.58,mid starboard,0.085,3.58,0.6311
3.2,4.000,0.000,0.0083,1.0000,0.0083,0.00,32.99,mid starboard,0.463,32.99,1.0000
3.3,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
4.1,4.000,0.000,0.0673,0.0000,0.0000,,,,,,
6.1,4.000,0.000,0.0322,0.0000,0.0000,,,,,,
6.2,4.000,0.000,0.0312,1.0000,0.0312,0.00,31.15,mid starboard,0.525,31.15,1.0000
