Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
2.1,3.000,0.000,0.3830,0.0000,0.0000
2.2,3.000,0.000,0.0536,1.0000,0.0536,0.00,45.51,mid starboard,0.208,45.51,1.0000
2.3,3.000,0.000,0.0079,1.0000,0.0079,0.00,50.21,mid starboard,0.238,50.21,1.0000
2.4,3.000,0.000,0.1980,1.0000,0.1980,0.00,38.56,mid starboard,0.329,38.56,1.0000
2.5,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
4.1,3.000,0.000,0.0583,0.0000,0.0000,,,,,,
4.2,3.000,0.000,0.0268,1.0000,0.0268,0.00,42.91,mid starboard,0.190,42.91,1.0000
4.3,3.000,0.000,0.0316,1.0000,0.0316,0.00,34.32,mid starboard,0.349,34.32,1.0000
4.4,3.000,0.000,0.0657,1.0000,0.0657,0.00,23.76,mid starboard,0.130,23.76,1.0000
6.1,3.000,0.000,0.0048,0.0000,0.0000,,,,,,
6.2,3.000,0.000,0.0315,1.0000,0.0315,0.00,20.66,mid starboard,0.365,20.66,1.0000
6.3,3.000,0.000,0.0001,0.0000,0.0000,,,,,,
2.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.0536,1.0000,0.0536,0.00,33.58,mid starboard,0.331,33.58,1.0000
2.3,3.600,0.000,0.0079,1.0000,0.0079,0.00,38.24,mid starboard,0.382,38.24,1.0000
2.4,3.600,0.000,0.1980,1.0000,0.1980,0.00,25.76,mid starboard,0.435,25.76,1.0000
2.5,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.26,mid starboard,0.469,39.26,1.0000
4.1,3.600,0.000,0.0583,0.0000,0.0000,,,,,,
4.2,3.600,0.000,0.0268,1.0000,0.0268,0.00,31.03,mid starboard,0.305,31.03,1.0000
4.3,3.600,0.000,0.0316,1.0000,0.0316,0.00,21.34,mid starboard,0.393,21.34,1.0000
4.4,3.600,0.000,0.0657,0.0000,0.0000,60.00,-0.01,mid port,0.000,0.00,0.0000
6.1,3.600,0.000,0.0048,0.0000,0.0000,,,,,,
6.2,3.600,0.000,0.0315,0.6645,0.0209,0.00,4.42,mid starboard,0.085,4.42,0.6645
6.3,3.600,0.000,0.0001,0.0000,0.0000,,,,,,
2.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.0536,1.0000,0.0536,0.00,26.93,mid starboard,0.335,26.93,1.0000
2.3,4.000,0.000,0.0079,1.0000,0.0079,0.00,31.63,mid starboard,0.410,31.63,1.0000
2.4,4.000,0.000,0.1980,1.0000,0.1980,0.00,18.25,mid starboard,0.372,18.25,1.0000
2.5,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.505,32.39,1.0000
4.1,4.000,0.000,0.0583,0.0000,0.0000,,,,,,
4.2,4.000,0.000,0.0268,1.0000,0.0268,0.00,24.29,mid starboard,0.301,24.29,1.0000
4.3,4.000,0.000,0.0316,0.9601,0.0303,0.00,13.59,mid starboard,0.296,13.59,0.9601
4.4,4.000,0.000,0.0657,0.0000,0.0000,,,,,,
6.1,4.000,0.000,0.0048,0.0000,0.0000,,,,,,
6.2,4.000,0.000,0.0315,0.0000,0.0000,,,,,,
6.3,4.000,0.000,0.0001,0.0000,0.0000,,,,,,
