Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.3572,60.00,24.37,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.000,0.000,0.2629,60.00,37.60,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.000,0.000,0.0150,1.46,51.59,mid starboard,0.235,50.13,1.0000,1.0000,0.0150
2.4,3.000,0.000,0.0277,0.67,52.03,mid starboard,0.249,51.36,1.0000,1.0000,0.0277
4.1,3.000,0.000,0.0252,60.00,19.23,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.000,0.000,0.0645,60.00,20.75,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.000,0.000,0.0197,60.00,34.86,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.4,3.000,0.000,0.0315,60.00,36.23,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.5,3.000,0.000,0.0026,1.51,51.36,mid starboard,0.248,49.85,1.0000,1.0000,0.0026
4.6,3.000,0.000,0.0193,2.31,51.12,mid starboard,0.221,48.81,1.0000,1.0000,0.0193
4.7,3.000,0.000,0.0371,0.78,51.68,mid starboard,0.270,50.90,1.0000,1.0000,0.0371
6.1,3.000,0.000,0.0005,,,,,,,0.0000,0.0000
6.2,3.000,0.000,0.0027,0.00,27.53,mid starboard,0.309,27.53,1.0000,1.0000,0.0027
6.3,3.000,0.000,0.0132,60.00,34.80,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.000,0.000,0.0020,0.00,51.29,mid starboard,0.273,51.29,1.0000,1.0000,0.0020
6.5,3.000,0.000,0.0698,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0698
2.1,3.600,0.000,0.3572,60.00,15.61,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.600,0.000,0.2629,60.00,28.02,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.600,0.000,0.0150,1.53,39.65,mid starboard,0.387,38.12,1.0000,1.0000,0.0150
2.4,3.600,0.000,0.0277,0.74,39.98,mid starboard,0.402,39.24,1.0000,1.0000,0.0277
4.1,3.600,0.000,0.0252,60.00,9.64,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.600,0.000,0.0645,60.00,12.02,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.600,0.000,0.0197,60.00,25.21,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.4,3.600,0.000,0.0315,60.00,26.74,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.5,3.600,0.000,0.0026,1.57,39.36,mid starboard,0.404,37.79,1.0000,1.0000,0.0026
4.6,3.600,0.000,0.0193,2.47,39.16,mid starboard,0.380,36.69,1.0000,1.0000,0.0193
4.7,3.600,0.000,0.0371,0.86,39.46,mid starboard,0.443,38.60,1.0000,1.0000,0.0371
6.1,3.600,0.000,0.0005,,,,,,,0.0000,0.0000
6.2,3.600,0.000,0.0027,0.00,14.40,mid starboard,0.287,14.40,0.9739,0.9739,0.0026
6.3,3.600,0.000,0.0132,60.00,25.30,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.600,0.000,0.0020,0.00,39.12,mid starboard,0.433,39.12,1.0000,1.0000,0.0020
6.5,3.600,0.000,0.0698,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.0698
2.1,4.000,0.000,0.3572,60.00,9.59,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
2.2,4.000,0.000,0.2629,60.00,22.29,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
2.3,4.000,0.000,0.0150,1.57,33.03,mid starboard,0.425,31.46,1.0000,1.0000,0.0150
2.4,4.000,0.000,0.0277,0.79,33.31,mid starboard,0.442,32.51,1.0000,1.0000,0.0277
4.1,4.000,0.000,0.0252,60.00,0.77,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.2,4.000,0.000,0.0645,60.00,5.61,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,4.000,0.000,0.0197,60.00,19.36,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.4,4.000,0.000,0.0315,60.00,20.99,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.5,4.000,0.000,0.0026,1.60,32.72,mid starboard,0.442,31.12,1.0000,1.0000,0.0026
4.6,4.000,0.000,0.0193,2.53,32.50,mid starboard,0.419,29.97,1.0000,1.0000,0.0193
4.7,4.000,0.000,0.0371,0.89,32.70,mid starboard,0.480,31.81,1.0000,1.0000,0.0371
6.1,4.000,0.000,0.0005,,,,,,,0.0000,0.0000
6.2,4.000,0.000,0.0027,0.00,6.30,mid starboard,0.145,6.30,0.7922,0.7922,0.0021
6.3,4.000,0.000,0.0132,60.00,19.46,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,4.000,0.000,0.0020,0.00,32.36,mid starboard,0.475,32.36,1.0000,1.0000,0.0020
6.5,4.000,0.000,0.0698,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.0698
