Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.0019,0.00,52.21,mid starboard,0.257,52.21,1.0000,1.0000,0.0019
2.2,3.000,0.000,0.0036,0.00,52.21,mid starboard,0.249,52.21,1.0000,1.0000,0.0036
2.3,3.000,0.000,0.0002,0.00,52.32,mid starboard,0.257,52.32,1.0000,1.0000,0.0002
2.4,3.000,0.000,0.0044,0.02,52.16,mid starboard,0.245,52.14,1.0000,1.0000,0.0044
3.1,3.000,0.000,0.0003,0.02,52.14,mid starboard,0.245,52.13,1.0000,1.0000,0.0003
4.1,3.000,0.000,0.0121,0.12,51.83,mid starboard,0.253,51.70,1.0000,1.0000,0.0121
4.2,3.000,0.000,0.0006,0.00,52.19,mid starboard,0.247,52.18,1.0000,1.0000,0.0006
4.3,3.000,0.000,0.0006,0.02,52.14,mid starboard,0.244,52.12,1.0000,1.0000,0.0006
4.4,3.000,0.000,0.0230,1.18,50.86,mid starboard,0.190,45.12,1.0000,1.0000,0.0230
4.5,3.000,0.000,0.0472,0.90,51.84,mid starboard,0.256,50.94,1.0000,1.0000,0.0472
5.1,3.000,0.000,0.0962,6.48,48.27,mid starboard,0.054,27.83,0.8188,0.8188,0.0788
5.2,3.000,0.000,0.0006,0.36,52.15,mid starboard,0.245,51.78,1.0000,1.0000,0.0006
5.3,3.000,0.000,0.0288,4.69,50.21,mid starboard,0.118,41.08,0.9948,0.9948,0.0287
5.4,3.000,0.000,0.0000,0.02,52.12,mid starboard,0.244,52.11,1.0000,1.0000,0.0000
5.5,3.000,0.000,0.0000,1.18,50.86,mid starboard,0.190,45.12,1.0000,1.0000,0.0000
6.1,3.000,0.000,0.0012,0.00,51.83,mid starboard,0.253,51.83,1.0000,1.0000,0.0012
6.2,3.000,0.000,0.0027,0.02,52.00,mid starboard,0.234,51.98,1.0000,1.0000,0.0027
7.1,3.000,0.000,0.0063,6.51,48.16,mid starboard,0.052,27.06,0.8095,0.8095,0.0051
7.2,3.000,0.000,0.0002,0.02,51.99,mid starboard,0.234,51.97,1.0000,1.0000,0.0002
7.3,3.000,0.000,0.1702,60.00,41.93,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.4,3.000,0.000,0.0843,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.0843
2.1,3.600,0.000,0.0019,0.01,40.28,mid starboard,0.401,40.26,1.0000,1.0000,0.0019
2.2,3.600,0.000,0.0036,0.05,40.27,mid starboard,0.396,40.21,1.0000,1.0000,0.0036
2.3,3.600,0.000,0.0002,0.02,40.35,mid starboard,0.405,40.33,1.0000,1.0000,0.0002
2.4,3.600,0.000,0.0044,0.12,40.23,mid starboard,0.392,40.11,1.0000,1.0000,0.0044
3.1,3.600,0.000,0.0003,0.12,40.23,mid starboard,0.392,40.11,1.0000,1.0000,0.0003
