Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
2.1,3.000,0.000,0.3830,0.0000,0.0000
3.1,3.000,0.000,0.2357,1.0000,0.2357,0.00,32.03,mid starboard,0.231,32.03,1.0000
3.2,3.000,0.000,0.0551,1.0000,0.0551,0.00,49.58,mid starboard,0.284,49.58,1.0000
3.3,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
5.1,3.000,0.000,0.0673,0.0000,0.0000,,,,,,
6.1,3.000,0.000,0.0586,1.0000,0.0586,0.00,20.66,mid starboard,0.365,20.66,1.0000
6.2,3.000,0.000,0.0571,1.0000,0.0571,0.00,46.81,mid starboard,0.346,46.81,1.0000
2.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
3.1,3.600,0.000,0.2357,1.0000,0.2357,0.00,19.36,mid starboard,0.302,19.36,1.0000
3.2,3.600,0.000,0.0551,1.0000,0.0551,0.00,37.31,mid starboard,0.457,37.31,1.0000
3.3,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.26,mid starboard,0.469,39.26,1.0000
5.1,3.600,0.000,0.0673,0.0000,0.0000,,,,,,
6.1,3.600,0.000,0.0586,0.6620,0.0388,0.00,4.39,mid starboard,0.084,4.39,0.6620
6.2,3.600,0.000,0.0571,1.0000,0.0571,0.00,34.05,mid starboard,0.510,34.05,1.0000
2.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
3.1,4.000,0.000,0.2357,0.9228,0.2175,0.00,11.60,mid starboard,0.224,11.60,0.9228
3.2,4.000,0.000,0.0551,1.0000,0.0551,0.00,30.43,mid starboard,0.486,30.43,1.0000
3.3,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.505,32.39,1.0000
5.1,4.000,0.000,0.0673,0.0000,0.0000,,,,,,
6.1,4.000,0.000,0.0586,0.0000,0.0000,,,,,,
6.2,4.000,0.000,0.0571,1.0000,0.0571,0.00,26.69,mid starboard,0.495,26.69,1.0000
