Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
2.1,3.000,0.000,0.1402,0.00,41.62,aft starboard,0.188,41.62,1.0000,1.0000,0.1402
3.1,3.000,0.000,0.1771,0.00,29.26,aft starboard,0.137,29.26,1.0000,1.0000,0.1771
3.2,3.000,0.000,0.3493,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,0.3493
4.1,3.000,0.000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1345
5.1,3.000,0.000,0.0657,,,,,,,0.0000,0.0000
6.1,3.000,0.000,0.0671,,,,,,,0.0000,0.0000
7.1,3.000,0.000,0.0658,,,,,,,0.0000,0.0000
2.1,3.600,0.000,0.1402,0.00,22.72,aft starboard,0.205,22.72,1.0000,1.0000,0.1402
3.1,3.600,0.000,0.1771,0.00,14.98,aft starboard,0.089,14.98,0.9123,0.9123,0.1615
3.2,3.600,0.000,0.3493,0.00,4.42,mid starboard,0.085,4.42,0.6643,0.6643,0.2321
4.1,3.600,0.000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1345
5.1,3.600,0.000,0.0657,,,,,,,0.0000,0.0000
6.1,3.600,0.000,0.0671,,,,,,,0.0000,0.0000
7.1,3.600,0.000,0.0658,,,,,,,0.0000,0.0000
2.1,4.000,0.000,0.1402,0.00,12.03,aft starboard,0.126,12.03,0.9311,0.9311,0.1305
3.1,4.000,0.000,0.1771,26.76,2.72,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,4.000,0.000,0.3493,,,,,,,0.0000,0.0000
4.1,4.000,0.000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1345
5.1,4.000,0.000,0.0657,,,,,,,0.0000,0.0000
6.1,4.000,0.000,0.0671,,,,,,,0.0000,0.0000
7.1,4.000,0.000,0.0658,,,,,,,0.0000,0.0000
