Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0002,0.00,52.34,mid starboard,0.258,52.34,1.0000,1.0000,0.0002
1.2,3.000,0.000,0.0000,0.00,52.34,mid starboard,0.259,52.34,1.0000,1.0000,0.0000
1.3,3.000,0.000,0.0005,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0005
1.4,3.000,0.000,0.0991,0.00,46.94,mid starboard,0.290,46.94,1.0000,1.0000,0.0991
1.5,3.000,0.000,0.0674,0.00,51.64,mid starboard,0.286,51.64,1.0000,1.0000,0.0674
1.6,3.000,0.000,0.0227,0.00,52.34,mid starboard,0.259,52.34,1.0000,1.0000,0.0227
2.1,3.000,0.000,0.3541,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
2.2,3.000,0.000,0.0000,0.00,52.33,mid starboard,0.258,52.33,1.0000,1.0000,0.0000
2.3,3.000,0.000,0.0005,0.00,51.77,mid starboard,0.255,51.77,1.0000,1.0000,0.0005
2.4,3.000,0.000,0.0001,0.00,52.33,mid starboard,0.257,52.33,1.0000,1.0000,0.0001
2.5,3.000,0.000,0.1766,0.04,35.95,mid starboard,0.190,35.92,1.0000,1.0000,0.1766
2.6,3.000,0.000,0.0572,0.00,42.97,mid starboard,0.361,42.97,1.0000,1.0000,0.0572
2.7,3.000,0.000,0.0440,0.00,51.62,mid starboard,0.287,51.62,1.0000,1.0000,0.0440
3.1,3.000,0.000,0.0304,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.000,0.000,0.0000,0.00,51.77,mid starboard,0.255,51.77,1.0000,1.0000,0.0000
3.3,3.000,0.000,0.0005,0.00,52.32,mid starboard,0.256,52.32,1.0000,1.0000,0.0005
3.4,3.000,0.000,0.0168,0.00,35.95,mid starboard,0.190,35.95,1.0000,1.0000,0.0168
3.5,3.000,0.000,0.0608,0.08,20.66,mid starboard,0.365,20.58,1.0000,1.0000,0.0608
3.6,3.000,0.000,0.0050,0.00,42.02,mid starboard,0.342,42.02,1.0000,1.0000,0.0050
4.1,3.000,0.000,0.0088,,,,,,,0.0000,0.0000
4.2,3.000,0.000,0.0087,0.05,35.08,mid starboard,0.190,35.03,1.0000,1.0000,0.0087
4.3,3.000,0.000,0.0037,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,0.0037
4.4,3.000,0.000,0.0033,,,,,,,0.0000,0.0000
5.1,3.000,0.000,0.0001,0.09,19.34,mid starboard,0.358,19.25,1.0000,1.0000,0.0001
5.2,3.000,0.000,-0.0000,,,,,,,0.0000,0.0000
5.3,3.000,0.000,0.0000,,,,,,,0.0000,0.0000
6.1,3.000,0.000,0.0012,,,,,,,0.0000,0.0000
6.2,3.000,0.000,0.0487,,,,,,,0.0000,0.0000
6.3,3.000,0.000,0.0013,0.00,35.08,mid starboard,0.190,35.08,1.0000,1.0000,0.0013
6.4,3.000,0.000,0.0000,,,,,,,0.0000,0.0000
7.1,3.000,0.000,0.0001,,,,,,,0.0000,0.0000
7.2,3.000,0.000,0.0000,0.00,19.34,mid starboard,0.358,19.34,1.0000,1.0000,0.0000
1.1,3.600,0.000,0.0002,0.00,40.36,mid starboard,0.406,40.36,1.0000,1.0000,0.0002
1.2,3.600,0.000,0.0000,0.00,40.37,mid starboard,0.406,40.37,1.0000,1.0000,0.0000
1.3,3.600,0.000,0.0005,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0005
1.4,3.600,0.000,0.0991,0.00,34.51,mid starboard,0.467,34.51,1.0000,1.0000,0.0991
1.5,3.600,0.000,0.0674,0.00,39.31,mid starboard,0.465,39.31,1.0000,1.0000,0.0674
1.6,3.600,0.000,0.0227,0.00,40.35,mid starboard,0.408,40.35,1.0000,1.0000,0.0227
2.1,3.600,0.000,0.3541,,,,,,,0.0000,0.0000
2.2,3.600,0.000,0.0000,0.00,40.36,mid starboard,0.405,40.36,1.0000,1.0000,0.0000
2.3,3.600,0.000,0.0005,0.00,39.77,mid starboard,0.401,39.77,1.0000,1.0000,0.0005
2.4,3.600,0.000,0.0001,0.00,40.36,mid starboard,0.405,40.35,1.0000,1.0000,0.0001
2.5,3.600,0.000,0.1766,0.06,23.70,mid starboard,0.295,23.64,1.0000,1.0000,0.1766
2.6,3.600,0.000,0.0572,0.00,29.99,mid starboard,0.479,29.99,1.0000,1.0000,0.0572
2.7,3.600,0.000,0.0440,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.0440
3.1,3.600,0.000,0.0304,,,,,,,0.0000,0.0000
3.2,3.600,0.000,0.0000,0.00,39.77,mid starboard,0.401,39.77,1.0000,1.0000,0.0000
3.3,3.600,0.000,0.0005,0.00,40.35,mid starboard,0.404,40.35,1.0000,1.0000,0.0005
3.4,3.600,0.000,0.0168,0.00,23.70,mid starboard,0.295,23.70,1.0000,1.0000,0.0168
3.5,3.600,0.000,0.0608,0.07,4.48,mid starboard,0.085,4.41,0.6641,0.6641,0.0403
3.6,3.600,0.000,0.0050,0.00,28.73,mid starboard,0.437,28.73,1.0000,1.0000,0.0050
4.1,3.600,0.000,0.0088,,,,,,,0.0000,0.0000
4.2,3.600,0.000,0.0087,0.08,22.79,mid starboard,0.287,22.71,1.0000,1.0000,0.0087
4.3,3.600,0.000,0.0037,0.00,4.43,mid starboard,0.085,4.43,0.6658,0.6658,0.0025
4.4,3.600,0.000,0.0033,,,,,,,0.0000,0.0000
5.1,3.600,0.000,0.0001,0.12,-0.01,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.600,0.000,-0.0000,,,,,,,0.0000,0.0000
5.3,3.600,0.000,0.0000,,,,,,,0.0000,0.0000
6.1,3.600,0.000,0.0012,,,,,,,0.0000,0.0000
6.2,3.600,0.000,0.0487,,,,,,,0.0000,0.0000
6.3,3.600,0.000,0.0013,0.00,22.79,mid starboard,0.287,22.79,1.0000,1.0000,0.0013
6.4,3.600,0.000,0.0000,,,,,,,0.0000,0.0000
7.1,3.600,0.000,0.0001,,,,,,,0.0000,0.0000
7.2,3.600,0.000,0.0000,0.00,-0.01,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
1.1,4.000,0.000,0.0002,0.00,33.72,mid starboard,0.440,33.72,1.0000,1.0000,0.0002
1.2,4.000,0.000,0.0000,0.00,33.73,mid starboard,0.441,33.73,1.0000,1.0000,0.0000
1.3,4.000,0.000,0.0005,0.01,33.72,mid starboard,0.440,33.71,1.0000,1.0000,0.0005
1.4,4.000,0.000,0.0991,0.00,27.49,mid starboard,0.474,27.49,1.0000,1.0000,0.0991
1.5,4.000,0.000,0.0674,0.00,32.47,mid starboard,0.502,32.47,1.0000,1.0000,0.0674
1.6,4.000,0.000,0.0227,0.00,33.70,mid starboard,0.443,33.70,1.0000,1.0000,0.0227
2.1,4.000,0.000,0.3541,,,,,,,0.0000,0.0000
2.2,4.000,0.000,0.0000,0.00,33.72,mid starboard,0.440,33.72,1.0000,1.0000,0.0000
2.3,4.000,0.000,0.0005,0.00,33.14,mid starboard,0.433,33.14,1.0000,1.0000,0.0005
2.4,4.000,0.000,0.0001,0.01,33.72,mid starboard,0.440,33.71,1.0000,1.0000,0.0001
2.5,4.000,0.000,0.1766,0.06,16.35,mid starboard,0.257,16.29,1.0000,1.0000,0.1766
2.6,4.000,0.000,0.0572,0.00,22.38,mid starboard,0.434,22.38,1.0000,1.0000,0.0572
2.7,4.000,0.000,0.0440,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.0440
3.1,4.000,0.000,0.0304,,,,,,,0.0000,0.0000
3.2,4.000,0.000,0.0000,0.00,33.14,mid starboard,0.433,33.14,1.0000,1.0000,0.0000
3.3,4.000,0.000,0.0005,0.01,33.71,mid starboard,0.439,33.70,1.0000,1.0000,0.0005
3.4,4.000,0.000,0.0168,0.00,16.34,mid starboard,0.257,16.34,1.0000,1.0000,0.0168
3.5,4.000,0.000,0.0608,,,,,,,0.0000,0.0000
3.6,4.000,0.000,0.0050,0.00,20.71,mid starboard,0.382,20.71,1.0000,1.0000,0.0050
4.1,4.000,0.000,0.0088,,,,,,,0.0000,0.0000
4.2,4.000,0.000,0.0087,0.07,15.35,mid starboard,0.245,15.28,0.9885,0.9885,0.0086
4.3,4.000,0.000,0.0037,,,,,,,0.0000,0.0000
4.4,4.000,0.000,0.0033,,,,,,,0.0000,0.0000
5.1,4.000,0.000,0.0001,,,,,,,0.0000,0.0000
5.2,4.000,0.000,-0.0000,,,,,,,0.0000,0.0000
5.3,4.000,0.000,0.0000,,,,,,,0.0000,0.0000
6.1,4.000,0.000,0.0012,,,,,,,0.0000,0.0000
6.2,4.000,0.000,0.0487,,,,,,,0.0000,0.0000
6.3,4.000,0.000,0.0013,0.00,15.35,mid starboard,0.245,15.35,0.9897,0.9897,0.0012
6.4,4.000,0.000,0.0000,,,,,,,0.0000,0.0000
7.1,4.000,0.000,0.0001,,,,,,,0.0000,0.0000
7.2,4.000,0.000,0.0000,,,,,,,0.0000,0.0000
