Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
1.1,3.000,0.000,0.3830,0.0000,0.0000
1.2,3.000,0.000,0.1445,1.0000,0.1445,0.00,38.94,mid starboard,0.180,38.94,1.0000
1.3,3.000,0.000,0.1395,1.0000,0.1395,0.00,43.93,mid starboard,0.298,43.93,1.0000
1.4,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.62,mid starboard,0.287,51.62,1.0000
2.1,3.000,0.000,0.0664,0.0000,0.0000,,,,,,
2.2,3.000,0.000,0.0653,1.0000,0.0653,0.00,20.66,mid starboard,0.365,20.66,1.0000
2.3,3.000,0.000,0.0647,1.0000,0.0647,0.00,36.27,mid starboard,0.291,36.27,1.0000
3.1,3.000,0.000,0.0009,0.0000,0.0000,,,,,,
3.2,3.000,0.000,0.0011,0.0000,0.0000,,,,,,
1.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
1.2,3.600,0.000,0.1445,1.0000,0.1445,0.00,26.96,mid starboard,0.289,26.96,1.0000
1.3,3.600,0.000,0.1395,1.0000,0.1395,0.00,31.35,mid starboard,0.464,31.35,1.0000
1.4,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
2.1,3.600,0.000,0.0664,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.0653,0.6651,0.0434,0.00,4.43,mid starboard,0.085,4.43,0.6651
2.3,3.600,0.000,0.0647,1.0000,0.0647,0.00,21.79,mid starboard,0.302,21.79,1.0000
3.1,3.600,0.000,0.0009,0.0000,0.0000,,,,,,
3.2,3.600,0.000,0.0011,0.0000,0.0000,,,,,,
1.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
1.2,4.000,0.000,0.1445,1.0000,0.1445,0.00,19.91,mid starboard,0.272,19.91,1.0000
1.3,4.000,0.000,0.1395,1.0000,0.1395,0.00,24.17,mid starboard,0.445,24.17,1.0000
1.4,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
2.1,4.000,0.000,0.0664,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.0653,0.0000,0.0000,,,,,,
2.3,4.000,0.000,0.0647,0.9353,0.0605,0.00,12.25,mid starboard,0.195,12.25,0.9353
3.1,4.000,0.000,0.0009,0.0000,0.0000,,,,,,
3.2,4.000,0.000,0.0011,0.0000,0.0000,,,,,,
