Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
1.1,3.000,0.000,0.3830,0.0000,0.0000
1.2,3.000,0.000,0.1805,1.0000,0.1805,0.00,36.37,mid starboard,0.188,36.37,1.0000
1.3,3.000,0.000,0.1046,1.0000,0.1046,0.00,46.58,mid starboard,0.290,46.58,1.0000
1.4,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.62,mid starboard,0.287,51.62,1.0000
2.1,3.000,0.000,0.0671,0.0000,0.0000,,,,,,
2.2,3.000,0.000,0.0642,1.0000,0.0642,0.00,20.66,mid starboard,0.365,20.66,1.0000
2.3,3.000,0.000,0.0629,1.0000,0.0629,0.00,41.35,mid starboard,0.339,41.35,1.0000
3.1,3.000,0.000,0.0002,0.0000,0.0000,,,,,,
3.2,3.000,0.000,0.0029,0.0000,0.0000,,,,,,
1.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
1.2,3.600,0.000,0.1805,1.0000,0.1805,0.00,24.16,mid starboard,0.293,24.16,1.0000
1.3,3.600,0.000,0.1046,1.0000,0.1046,0.00,34.12,mid starboard,0.467,34.12,1.0000
1.4,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
2.1,3.600,0.000,0.0671,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.0642,0.6648,0.0427,0.00,4.42,mid starboard,0.085,4.42,0.6648
2.3,3.600,0.000,0.0629,1.0000,0.0629,0.00,27.96,mid starboard,0.423,27.96,1.0000
3.1,3.600,0.000,0.0002,0.0000,0.0000,,,,,,
3.2,3.600,0.000,0.0029,0.0000,0.0000,,,,,,
1.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
1.2,4.000,0.000,0.1805,1.0000,0.1805,0.00,16.85,mid starboard,0.260,16.85,1.0000
1.3,4.000,0.000,0.1046,1.0000,0.1046,0.00,27.09,mid starboard,0.471,27.09,1.0000
1.4,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
2.1,4.000,0.000,0.0671,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.0642,0.0000,0.0000,,,,,,
2.3,4.000,0.000,0.0629,1.0000,0.0629,0.00,19.83,mid starboard,0.363,19.83,1.0000
3.1,4.000,0.000,0.0002,0.0000,0.0000,,,,,,
3.2,4.000,0.000,0.0029,0.0000,0.0000,,,,,,
