Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0000,0.00,52.34,mid starboard,0.259,52.34,1.0000,1.0000,0.0000
2.1,3.000,0.000,0.0150,13.48,49.88,mid starboard,0.137,36.41,1.0000,1.0000,0.0150
2.2,3.000,0.000,0.0100,13.08,50.74,mid starboard,0.124,37.66,1.0000,1.0000,0.0100
2.3,3.000,0.000,0.0004,0.11,52.30,mid starboard,0.254,52.19,1.0000,1.0000,0.0004
2.4,3.000,0.000,0.0000,0.00,52.13,mid starboard,0.256,52.13,1.0000,1.0000,0.0000
2.5,3.000,0.000,0.0001,0.00,52.33,mid starboard,0.259,52.33,1.0000,1.0000,0.0001
3.1,3.000,0.000,0.1309,60.00,41.23,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.000,0.000,0.0867,60.00,45.73,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.000,0.000,0.0035,0.11,52.15,mid starboard,0.252,52.03,1.0000,1.0000,0.0035
3.4,3.000,0.000,0.0001,0.11,52.30,mid starboard,0.254,52.19,1.0000,1.0000,0.0001
4.1,3.000,0.000,0.0030,30.23,48.35,mid starboard,0.016,18.11,0.0000,0.0000,0.0000
4.2,3.000,0.000,0.0005,60.00,45.49,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.000,0.000,0.0001,0.15,51.88,mid starboard,0.267,51.73,1.0000,1.0000,0.0001
4.4,3.000,0.000,0.0001,0.00,52.05,mid starboard,0.255,52.05,1.0000,1.0000,0.0001
4.5,3.000,0.000,0.0138,0.07,51.81,mid starboard,0.283,51.75,1.0000,1.0000,0.0138
5.1,3.000,0.000,0.0128,26.09,45.74,mid starboard,0.062,19.65,0.7514,0.7514,0.0096
5.2,3.000,0.000,0.0104,32.51,47.69,mid starboard,0.086,15.18,0.0000,0.0000,0.0000
5.3,3.000,0.000,0.0000,60.00,45.44,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.4,3.000,0.000,0.0011,0.26,51.82,mid starboard,0.271,51.56,1.0000,1.0000,0.0011
5.5,3.000,0.000,0.0008,0.11,52.13,mid starboard,0.252,52.01,1.0000,1.0000,0.0008
6.1,3.000,0.000,0.1118,60.00,34.54,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.000,0.000,0.0265,60.00,38.33,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.000,0.000,0.0912,60.00,42.82,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.000,0.000,0.0005,0.15,51.62,mid starboard,0.261,51.46,1.0000,1.0000,0.0005
6.5,3.000,0.000,0.0000,0.23,51.59,mid starboard,0.275,51.36,1.0000,1.0000,0.0000
6.6,3.000,0.000,0.1205,0.07,51.68,mid starboard,0.279,51.61,1.0000,1.0000,0.1205
7.1,3.000,0.000,0.0013,33.02,47.65,mid starboard,0.085,14.63,0.0000,0.0000,0.0000
7.2,3.000,0.000,0.0099,0.26,51.55,mid starboard,0.264,51.28,1.0000,1.0000,0.0099
1.1,3.600,0.000,0.0000,0.00,40.37,mid starboard,0.406,40.37,1.0000,1.0000,0.0000
2.1,3.600,0.000,0.0060,9.77,38.52,mid starboard,0.298,28.75,1.0000,1.0000,0.0060
2.2,3.600,0.000,0.0040,9.09,39.08,mid starboard,0.310,29.99,1.0000,1.0000,0.0040
2.3,3.600,0.000,0.0002,0.18,40.33,mid starboard,0.403,40.14,1.0000,1.0000,0.0002
2.4,3.600,0.000,0.0000,0.00,39.92,mid starboard,0.422,39.91,1.0000,1.0000,0.0000
2.5,3.600,0.000,0.0001,0.00,40.36,mid starboard,0.406,40.36,1.0000,1.0000,0.0001
3.1,3.600,0.000,0.1399,60.00,29.55,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.600,0.000,0.0926,60.00,35.31,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.600,0.000,0.0037,0.18,40.22,mid starboard,0.396,40.03,1.0000,1.0000,0.0037
3.4,3.600,0.000,0.0000,0.18,40.33,mid starboard,0.403,40.14,1.0000,1.0000,0.0000
4.1,3.600,0.000,0.0012,17.41,37.29,mid starboard,0.208,19.89,1.0000,1.0000,0.0012
4.2,3.600,0.000,0.0005,60.00,35.15,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.600,0.000,0.0000,0.24,39.71,mid starboard,0.432,39.47,1.0000,1.0000,0.0000
4.4,3.600,0.000,0.0002,0.00,39.76,mid starboard,0.417,39.75,1.0000,1.0000,0.0002
4.5,3.600,0.000,0.0055,0.05,39.55,mid starboard,0.463,39.50,1.0000,1.0000,0.0055
5.1,3.600,0.000,0.0051,18.29,33.14,aft starboard,0.182,14.84,0.9814,0.9814,0.0050
5.2,3.600,0.000,0.0042,18.88,36.63,mid starboard,0.237,17.75,1.0000,1.0000,0.0042
5.3,3.600,0.000,0.0000,60.00,35.13,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.4,3.600,0.000,0.0005,0.32,39.65,mid starboard,0.437,39.33,1.0000,1.0000,0.0005
5.5,3.600,0.000,0.0009,0.18,40.21,mid starboard,0.396,40.02,1.0000,1.0000,0.0009
6.1,3.600,0.000,0.1194,60.00,25.03,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.2,3.600,0.000,0.0283,60.00,27.84,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.600,0.000,0.0974,60.00,32.91,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.600,0.000,0.0006,0.24,39.46,mid starboard,0.418,39.22,1.0000,1.0000,0.0006
6.5,3.600,0.000,0.0000,0.26,39.16,mid starboard,0.469,38.90,1.0000,1.0000,0.0000
6.6,3.600,0.000,0.1288,0.06,39.32,mid starboard,0.459,39.27,1.0000,1.0000,0.1288
7.1,3.600,0.000,0.0005,19.05,36.59,mid starboard,0.235,17.53,1.0000,1.0000,0.0005
7.2,3.600,0.000,0.0105,0.32,39.39,mid starboard,0.422,39.07,1.0000,1.0000,0.0105
1.1,4.000,0.000,0.0000,0.00,33.73,mid starboard,0.441,33.72,1.0000,1.0000,0.0000
2.1,4.000,0.000,0.0000,8.25,31.30,aft starboard,0.326,23.05,1.0000,1.0000,0.0000
2.2,4.000,0.000,0.0000,7.57,32.62,mid starboard,0.352,25.05,1.0000,1.0000,0.0000
2.3,4.000,0.000,0.0000,0.23,33.69,mid starboard,0.439,33.46,1.0000,1.0000,0.0000
2.4,4.000,0.000,0.0000,0.00,33.16,mid starboard,0.470,33.16,1.0000,1.0000,0.0000
2.5,4.000,0.000,0.0001,0.00,33.72,mid starboard,0.440,33.71,1.0000,1.0000,0.0001
3.1,4.000,0.000,0.1459,60.00,23.58,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,4.000,0.000,0.0966,60.00,29.33,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
3.3,4.000,0.000,0.0038,0.23,33.59,mid starboard,0.430,33.36,1.0000,1.0000,0.0038
3.4,4.000,0.000,0.0000,0.23,33.69,mid starboard,0.439,33.46,1.0000,1.0000,0.0000
4.1,4.000,0.000,0.0000,14.50,30.59,aft starboard,0.229,16.09,1.0000,1.0000,0.0000
4.2,4.000,0.000,0.0006,60.00,29.18,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
