Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0042,0.43,51.78,mid starboard,0.238,51.35,1.0000,1.0000,0.0042
1.2,3.000,0.000,0.0000,0.00,52.04,mid starboard,0.263,52.04,1.0000,1.0000,0.0000
2.1,3.000,0.000,0.0368,0.43,49.18,mid starboard,0.202,48.75,1.0000,1.0000,0.0368
2.2,3.000,0.000,0.0086,10.65,50.41,mid starboard,0.154,39.76,1.0000,1.0000,0.0086
2.3,3.000,0.000,0.0054,9.39,51.02,mid starboard,0.152,41.63,1.0000,1.0000,0.0054
2.4,3.000,0.000,0.0023,1.22,52.05,mid starboard,0.226,50.83,1.0000,1.0000,0.0023
2.5,3.000,0.000,0.0002,0.00,51.94,mid starboard,0.261,51.94,1.0000,1.0000,0.0002
3.1,3.000,0.000,0.0102,2.04,49.09,mid starboard,0.268,47.06,1.0000,1.0000,0.0102
3.2,3.000,0.000,0.0022,13.48,49.88,mid starboard,0.137,36.41,1.0000,1.0000,0.0022
3.3,3.000,0.000,0.0752,11.08,46.48,mid starboard,0.022,14.66,0.6425,0.6425,0.0483
3.4,3.000,0.000,0.0474,9.30,48.06,mid starboard,0.044,21.75,0.7773,0.7773,0.0368
3.5,3.000,0.000,0.0202,1.22,49.11,mid starboard,0.178,37.47,1.0000,1.0000,0.0202
3.6,3.000,0.000,0.0138,0.07,51.81,mid starboard,0.283,51.75,1.0000,1.0000,0.0138
4.1,3.000,0.000,0.0891,2.05,41.60,aft starboard,0.189,39.55,1.0000,1.0000,0.0891
4.2,3.000,0.000,0.0029,23.26,49.14,mid starboard,0.059,25.88,0.8390,0.8390,0.0024
4.3,3.000,0.000,0.0022,13.07,50.74,mid starboard,0.124,37.66,1.0000,1.0000,0.0022
4.4,3.000,0.000,0.0000,1.22,48.78,mid starboard,0.178,36.90,1.0000,1.0000,0.0000
4.5,3.000,0.000,0.1205,0.07,51.68,mid starboard,0.279,51.62,1.0000,1.0000,0.1205
5.1,3.000,0.000,0.0190,60.00,39.45,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.000,0.000,0.0056,8.15,40.85,aft starboard,0.354,32.70,1.0000,1.0000,0.0056
5.3,3.000,0.000,0.0000,25.99,48.62,mid starboard,0.042,22.63,0.6903,0.6903,0.0000
5.4,3.000,0.000,0.0031,9.68,46.68,mid starboard,0.238,37.00,1.0000,1.0000,0.0031
5.5,3.000,0.000,0.0072,2.03,47.50,mid starboard,0.416,45.47,1.0000,1.0000,0.0072
6.1,3.000,0.000,0.0040,8.19,39.72,aft starboard,0.378,31.53,1.0000,1.0000,0.0040
6.2,3.000,0.000,0.0490,15.20,31.13,aft starboard,0.075,15.93,0.8870,0.8870,0.0434
6.3,3.000,0.000,0.0253,60.00,42.39,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.000,0.000,0.0001,27.31,48.86,mid starboard,0.033,21.55,0.5314,0.5314,0.0001
6.5,3.000,0.000,0.0020,9.87,45.93,mid starboard,0.278,36.05,1.0000,1.0000,0.0020
6.6,3.000,0.000,0.0275,12.42,43.33,mid starboard,0.069,25.94,0.8717,0.8717,0.0240
6.7,3.000,0.000,0.0190,60.00,44.60,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.8,3.000,0.000,0.0091,2.69,46.79,mid starboard,0.486,44.10,1.0000,1.0000,0.0091
6.9,3.000,0.000,0.0634,5.11,41.99,mid starboard,0.181,36.88,1.0000,1.0000,0.0634
6.10,3.000,0.000,0.0006,1.93,46.54,mid starboard,0.546,44.61,1.0000,1.0000,0.0006
7.1,3.000,0.000,0.0347,15.26,30.24,aft starboard,0.084,14.98,0.8999,0.8999,0.0312
7.2,3.000,0.000,0.0179,12.85,42.60,mid starboard,0.093,29.75,0.9394,0.9394,0.0168
7.3,3.000,0.000,0.0000,60.00,43.95,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.4,3.000,0.000,0.0796,6.41,41.10,mid starboard,0.222,34.69,1.0000,1.0000,0.0796
1.1,3.600,0.000,0.0017,1.32,39.96,mid starboard,0.387,38.64,1.0000,1.0000,0.0017
1.2,3.600,0.000,0.0000,0.00,39.78,mid starboard,0.434,39.78,1.0000,1.0000,0.0000
2.1,3.600,0.000,0.0393,1.35,34.86,aft starboard,0.261,33.51,1.0000,1.0000,0.0393
2.2,3.600,0.000,0.0034,8.21,38.90,mid starboard,0.318,30.69,1.0000,1.0000,0.0034
2.3,3.600,0.000,0.0022,7.35,39.32,mid starboard,0.329,31.97,1.0000,1.0000,0.0022
2.4,3.600,0.000,0.0009,1.61,40.12,mid starboard,0.385,38.52,1.0000,1.0000,0.0009
2.5,3.600,0.000,0.0002,0.00,39.60,mid starboard,0.429,39.60,1.0000,1.0000,0.0002
3.1,3.600,0.000,0.0041,1.51,32.86,aft starboard,0.392,31.35,1.0000,1.0000,0.0041
3.2,3.600,0.000,0.0009,9.77,38.52,mid starboard,0.298,28.75,1.0000,1.0000,0.0009
3.3,3.600,0.000,0.0803,15.69,33.52,aft starboard,0.055,17.83,0.8245,0.8245,0.0662
3.4,3.600,0.000,0.0506,9.59,36.80,mid starboard,0.133,27.21,1.0000,1.0000,0.0506
3.5,3.600,0.000,0.0216,1.63,37.65,mid starboard,0.226,36.02,1.0000,1.0000,0.0216
3.6,3.600,0.000,0.0055,0.05,39.55,mid starboard,0.463,39.50,1.0000,1.0000,0.0055
4.1,3.600,0.000,0.0952,3.32,22.90,aft starboard,0.201,19.58,1.0000,1.0000,0.0952
4.2,3.600,0.000,0.0012,14.52,37.90,mid starboard,0.247,23.38,1.0000,1.0000,0.0012
4.3,3.600,0.000,0.0009,9.09,39.08,mid starboard,0.310,29.99,1.0000,1.0000,0.0009
4.4,3.600,0.000,0.0000,1.63,37.16,mid starboard,0.213,35.52,1.0000,1.0000,0.0000
4.5,3.600,0.000,0.1288,0.05,39.32,mid starboard,0.459,39.27,1.0000,1.0000,0.1288
5.1,3.600,0.000,0.0203,60.00,25.68,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,3.600,0.000,0.0022,5.30,25.06,aft starboard,0.407,19.76,1.0000,1.0000,0.0022
5.3,3.600,0.000,0.0000,15.91,37.52,mid starboard,0.226,21.61,1.0000,1.0000,0.0000
5.4,3.600,0.000,0.0013,5.84,34.30,mid starboard,0.437,28.46,1.0000,1.0000,0.0013
5.5,3.600,0.000,0.0029,1.42,34.58,mid starboard,0.644,33.16,1.0000,1.0000,0.0029
6.1,3.600,0.000,0.0016,5.49,24.51,aft starboard,0.410,19.02,1.0000,1.0000,0.0016
6.2,3.600,0.000,0.0523,21.59,17.98,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.600,0.000,0.0270,60.00,30.63,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.600,0.000,0.0001,16.07,37.67,mid starboard,0.229,21.59,1.0000,1.0000,0.0001
6.5,3.600,0.000,0.0008,6.14,33.71,mid starboard,0.465,27.57,1.0000,1.0000,0.0008
6.6,3.600,0.000,0.0294,10.49,31.33,mid starboard,0.204,20.84,1.0000,1.0000,0.0294
6.7,3.600,0.000,0.0203,60.00,33.65,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.8,3.600,0.000,0.0036,1.92,34.01,mid starboard,0.688,32.09,1.0000,1.0000,0.0036
6.9,3.600,0.000,0.0677,2.49,29.11,mid starboard,0.349,26.63,1.0000,1.0000,0.0677
6.10,3.600,0.000,0.0003,1.34,33.61,mid starboard,0.738,32.27,1.0000,1.0000,0.0003
7.1,3.600,0.000,0.0371,23.84,17.39,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
7.2,3.600,0.000,0.0191,10.86,30.76,mid starboard,0.221,19.90,1.0000,1.0000,0.0191
7.3,3.600,0.000,0.0000,60.00,32.37,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
7.4,3.600,0.000,0.0850,3.23,28.37,mid starboard,0.372,25.15,1.0000,1.0000,0.0850
1.1,4.000,0.000,0.0000,1.56,33.21,aft starboard,0.419,31.65,1.0000,1.0000,0.0000
1.2,4.000,0.000,0.0000,0.00,33.03,mid starboard,0.481,33.03,1.0000,1.0000,0.0000
2.1,4.000,0.000,0.0410,2.91,26.87,aft starboard,0.227,23.96,1.0000,1.0000,0.0410
2.2,4.000,0.000,0.0000,6.88,32.00,aft starboard,0.351,25.11,1.0000,1.0000,0.0000
2.3,4.000,0.000,0.0000,6.11,32.83,mid starboard,0.370,26.72,1.0000,1.0000,0.0000
2.4,4.000,0.000,0.0000,1.64,33.51,mid starboard,0.423,31.88,1.0000,1.0000,0.0000
2.5,4.000,0.000,0.0002,0.00,32.74,mid starboard,0.477,32.74,1.0000,1.0000,0.0002
3.1,4.000,0.000,0.0000,1.32,24.34,aft starboard,0.381,23.02,1.0000,1.0000,0.0000
3.2,4.000,0.000,0.0000,8.25,31.30,aft starboard,0.326,23.05,1.0000,1.0000,0.0000
3.3,4.000,0.000,0.0838,17.90,26.25,aft starboard,0.035,8.35,0.6260,0.6260,0.0524
3.4,4.000,0.000,0.0528,10.97,30.43,mid starboard,0.145,19.46,1.0000,1.0000,0.0528
3.5,4.000,0.000,0.0225,2.77,31.04,mid starboard,0.228,28.27,1.0000,1.0000,0.0225
3.6,4.000,0.000,0.0000,0.04,32.81,mid starboard,0.504,32.77,1.0000,1.0000,0.0000
4.1,4.000,0.000,0.0993,2.54,13.27,aft starboard,0.109,10.73,0.8841,0.8841,0.0878
4.2,4.000,0.000,0.0000,12.15,31.29,aft starboard,0.274,19.13,1.0000,1.0000,0.0000
4.3,4.000,0.000,0.0000,7.57,32.62,mid starboard,0.352,25.05,1.0000,1.0000,0.0000
4.4,4.000,0.000,0.0000,3.12,30.08,mid starboard,0.194,26.96,1.0000,1.0000,0.0000
4.5,4.000,0.000,0.1343,0.04,32.46,mid starboard,0.499,32.42,1.0000,1.0000,0.1343
5.1,4.000,0.000,0.0212,60.00,15.26,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
5.2,4.000,0.000,0.0000,4.70,18.47,aft starboard,0.312,13.76,0.9631,0.9631,0.0000
5.3,4.000,0.000,0.0000,13.33,30.61,aft starboard,0.248,17.28,1.0000,1.0000,0.0000
5.4,4.000,0.000,0.0000,4.79,27.58,mid starboard,0.448,22.79,1.0000,1.0000,0.0000
5.5,4.000,0.000,0.0000,1.18,27.72,mid starboard,0.638,26.54,1.0000,1.0000,0.0000
6.1,4.000,0.000,0.0000,4.88,18.03,aft starboard,0.306,13.14,0.9520,0.9520,0.0000
6.2,4.000,0.000,0.0546,60.00,9.11,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.3,4.000,0.000,0.0281,60.00,23.58,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,4.000,0.000,0.0000,13.39,31.27,aft starboard,0.256,17.88,1.0000,1.0000,0.0000
6.5,4.000,0.000,0.0000,5.12,27.10,mid starboard,0.458,21.97,1.0000,1.0000,0.0000
6.6,4.000,0.000,0.0307,9.56,24.73,mid starboard,0.196,15.17,0.9867,0.9867,0.0303
6.7,4.000,0.000,0.0212,60.00,26.91,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.8,4.000,0.000,0.0000,1.61,27.24,mid starboard,0.658,25.63,1.0000,1.0000,0.0000
6.9,4.000,0.000,0.0706,1.76,21.83,mid starboard,0.327,20.06,1.0000,1.0000,0.0706
6.10,4.000,0.000,0.0000,1.12,26.85,mid starboard,0.690,25.73,1.0000,1.0000,0.0000
7.1,4.000,0.000,0.0387,60.00,8.31,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
7.2,4.000,0.000,0.0199,9.87,24.22,mid starboard,0.199,14.35,0.9731,0.9731,0.0194
